"Time (CET)","Day-ahead Total Load Forecast [MW] - Ireland (IE)","Actual Total Load [MW] - Ireland (IE)"
"13.02.2019 22:00 - 13.02.2019 22:30","4282","4031"
"13.02.2019 22:30 - 13.02.2019 23:00","4119","3828"
"13.02.2019 23:00 - 13.02.2019 23:30","3941","3657"
"13.02.2019 23:30 - 14.02.2019 00:00","3739","3425"
"14.02.2019 00:00 - 14.02.2019 00:30","3660","3324"
"14.02.2019 00:30 - 14.02.2019 01:00","3643","3286"
"14.02.2019 01:00 - 14.02.2019 01:30","3491","3143"
"14.02.2019 01:30 - 14.02.2019 02:00","3347","3062"
"14.02.2019 02:00 - 14.02.2019 02:30","3235","2946"
"14.02.2019 02:30 - 14.02.2019 03:00","3097","2899"
"14.02.2019 03:00 - 14.02.2019 03:30","3001","2839"
"14.02.2019 03:30 - 14.02.2019 04:00","2937","2773"
"14.02.2019 04:00 - 14.02.2019 04:30","2893","2763"
"14.02.2019 04:30 - 14.02.2019 05:00","2880","2733"
"14.02.2019 05:00 - 14.02.2019 05:30","2864","2728"
"14.02.2019 05:30 - 14.02.2019 06:00","2850","2693"
"14.02.2019 06:00 - 14.02.2019 06:30","2853","2698"
"14.02.2019 06:30 - 14.02.2019 07:00","2884","2776"
"14.02.2019 07:00 - 14.02.2019 07:30","2969","2893"
"14.02.2019 07:30 - 14.02.2019 08:00","3178","3118"
"14.02.2019 08:00 - 14.02.2019 08:30","3475","3400"
"14.02.2019 08:30 - 14.02.2019 09:00","3798","3771"
"14.02.2019 09:00 - 14.02.2019 09:30","3957","3858"
"14.02.2019 09:30 - 14.02.2019 10:00","4001","3876"
"14.02.2019 10:00 - 14.02.2019 10:30","4044","3857"
"14.02.2019 10:30 - 14.02.2019 11:00","4138","3934"
"14.02.2019 11:00 - 14.02.2019 11:30","4145","3942"
"14.02.2019 11:30 - 14.02.2019 12:00","4149","3938"
"14.02.2019 12:00 - 14.02.2019 12:30","4154","3958"
"14.02.2019 12:30 - 14.02.2019 13:00","4150","3947"
"14.02.2019 13:00 - 14.02.2019 13:30","4146","3917"
"14.02.2019 13:30 - 14.02.2019 14:00","4156","3896"
"14.02.2019 14:00 - 14.02.2019 14:30","4125","3880"
"14.02.2019 14:30 - 14.02.2019 15:00","4061","3804"
"14.02.2019 15:00 - 14.02.2019 15:30","4060","3805"
"14.02.2019 15:30 - 14.02.2019 16:00","4060","3829"
"14.02.2019 16:00 - 14.02.2019 16:30","4056","3819"
"14.02.2019 16:30 - 14.02.2019 17:00","4098","3838"
"14.02.2019 17:00 - 14.02.2019 17:30","4135","3881"
"14.02.2019 17:30 - 14.02.2019 18:00","4211","3963"
"14.02.2019 18:00 - 14.02.2019 18:30","4288","4088"
"14.02.2019 18:30 - 14.02.2019 19:00","4443","4197"
"14.02.2019 19:00 - 14.02.2019 19:30","4687","4438"
"14.02.2019 19:30 - 14.02.2019 20:00","4697","4467"
"14.02.2019 20:00 - 14.02.2019 20:30","4633","4425"
"14.02.2019 20:30 - 14.02.2019 21:00","4570","4331"
"14.02.2019 21:00 - 14.02.2019 21:30","4466","4223"
"14.02.2019 21:30 - 14.02.2019 22:00","4357","4126"
"14.02.2019 22:00 - 14.02.2019 22:30","4243","4011"
"14.02.2019 22:30 - 14.02.2019 23:00","4088","3803"
"14.02.2019 23:00 - 14.02.2019 23:30","3893","3676"
"14.02.2019 23:30 - 15.02.2019 00:00","3715","3519"
"15.02.2019 00:00 - 15.02.2019 00:30","3635","3428"
"15.02.2019 00:30 - 15.02.2019 01:00","3620","3359"
"15.02.2019 01:00 - 15.02.2019 01:30","3481","3200"
"15.02.2019 01:30 - 15.02.2019 02:00","3328","3098"
"15.02.2019 02:00 - 15.02.2019 02:30","3207","3004"
"15.02.2019 02:30 - 15.02.2019 03:00","3078","2901"
"15.02.2019 03:00 - 15.02.2019 03:30","2982","2821"
"15.02.2019 03:30 - 15.02.2019 04:00","2915","2788"
"15.02.2019 04:00 - 15.02.2019 04:30","2852","2745"
"15.02.2019 04:30 - 15.02.2019 05:00","2828","2721"
"15.02.2019 05:00 - 15.02.2019 05:30","2812","2738"
"15.02.2019 05:30 - 15.02.2019 06:00","2806","2740"
"15.02.2019 06:00 - 15.02.2019 06:30","2804","2763"
"15.02.2019 06:30 - 15.02.2019 07:00","2844","2825"
"15.02.2019 07:00 - 15.02.2019 07:30","2941","2949"
"15.02.2019 07:30 - 15.02.2019 08:00","3134","3167"
"15.02.2019 08:00 - 15.02.2019 08:30","3403","3451"
"15.02.2019 08:30 - 15.02.2019 09:00","3743","3766"
"15.02.2019 09:00 - 15.02.2019 09:30","3900","3876"
"15.02.2019 09:30 - 15.02.2019 10:00","3915","3868"
"15.02.2019 10:00 - 15.02.2019 10:30","3978","3879"
"15.02.2019 10:30 - 15.02.2019 11:00","4086","3919"
"15.02.2019 11:00 - 15.02.2019 11:30","4113","3899"
"15.02.2019 11:30 - 15.02.2019 12:00","4117","3862"
"15.02.2019 12:00 - 15.02.2019 12:30","4111","3891"
"15.02.2019 12:30 - 15.02.2019 13:00","4123","3887"
"15.02.2019 13:00 - 15.02.2019 13:30","4103","3867"
"15.02.2019 13:30 - 15.02.2019 14:00","4130","3912"
"15.02.2019 14:00 - 15.02.2019 14:30","4090","3888"
"15.02.2019 14:30 - 15.02.2019 15:00","4046","3818"
"15.02.2019 15:00 - 15.02.2019 15:30","4038","3855"
"15.02.2019 15:30 - 15.02.2019 16:00","4027","3841"
"15.02.2019 16:00 - 15.02.2019 16:30","4033","3864"
"15.02.2019 16:30 - 15.02.2019 17:00","4045","3903"
"15.02.2019 17:00 - 15.02.2019 17:30","4057","3921"
"15.02.2019 17:30 - 15.02.2019 18:00","4111","4006"
"15.02.2019 18:00 - 15.02.2019 18:30","4182","4100"
"15.02.2019 18:30 - 15.02.2019 19:00","4300","4214"
"15.02.2019 19:00 - 15.02.2019 19:30","4531","4356"
"15.02.2019 19:30 - 15.02.2019 20:00","4576","4389"
"15.02.2019 20:00 - 15.02.2019 20:30","4537","4311"
"15.02.2019 20:30 - 15.02.2019 21:00","4445","4200"
"15.02.2019 21:00 - 15.02.2019 21:30","4300","4061"
"15.02.2019 21:30 - 15.02.2019 22:00","4173","3979"
"15.02.2019 22:00 - 15.02.2019 22:30","4085","3854"
"15.02.2019 22:30 - 15.02.2019 23:00","3920","3733"
"15.02.2019 23:00 - 15.02.2019 23:30","3741","3563"
"15.02.2019 23:30 - 16.02.2019 00:00","3609","3412"
"16.02.2019 00:00 - 16.02.2019 00:30","3590","3354"
"16.02.2019 00:30 - 16.02.2019 01:00","3610","3340"
"16.02.2019 01:00 - 16.02.2019 01:30","3484","3210"
"16.02.2019 01:30 - 16.02.2019 02:00","3334","3089"
"16.02.2019 02:00 - 16.02.2019 02:30","3180","2960"
"16.02.2019 02:30 - 16.02.2019 03:00","3047","2869"
"16.02.2019 03:00 - 16.02.2019 03:30","2952","2758"
"16.02.2019 03:30 - 16.02.2019 04:00","2880","2687"
"16.02.2019 04:00 - 16.02.2019 04:30","2809","2611"
"16.02.2019 04:30 - 16.02.2019 05:00","2776","2597"
"16.02.2019 05:00 - 16.02.2019 05:30","2741","2603"
"16.02.2019 05:30 - 16.02.2019 06:00","2724","2602"
"16.02.2019 06:00 - 16.02.2019 06:30","2709","2609"
"16.02.2019 06:30 - 16.02.2019 07:00","2706","2584"
"16.02.2019 07:00 - 16.02.2019 07:30","2730","2632"
"16.02.2019 07:30 - 16.02.2019 08:00","2800","2746"
"16.02.2019 08:00 - 16.02.2019 08:30","2876","2842"
"16.02.2019 08:30 - 16.02.2019 09:00","3001","2927"
"16.02.2019 09:00 - 16.02.2019 09:30","3046","3013"
"16.02.2019 09:30 - 16.02.2019 10:00","3150","3184"
"16.02.2019 10:00 - 16.02.2019 10:30","3320","3352"
"16.02.2019 10:30 - 16.02.2019 11:00","3487","3500"
"16.02.2019 11:00 - 16.02.2019 11:30","3600","3552"
"16.02.2019 11:30 - 16.02.2019 12:00","3669","3582"
"16.02.2019 12:00 - 16.02.2019 12:30","3689","3592"
"16.02.2019 12:30 - 16.02.2019 13:00","3705","3639"
"16.02.2019 13:00 - 16.02.2019 13:30","3713","3664"
"16.02.2019 13:30 - 16.02.2019 14:00","3721","3678"
"16.02.2019 14:00 - 16.02.2019 14:30","3713","3684"
"16.02.2019 14:30 - 16.02.2019 15:00","3673","3626"
"16.02.2019 15:00 - 16.02.2019 15:30","3619","3608"
"16.02.2019 15:30 - 16.02.2019 16:00","3602","3586"
"16.02.2019 16:00 - 16.02.2019 16:30","3567","3563"
"16.02.2019 16:30 - 16.02.2019 17:00","3570","3559"
"16.02.2019 17:00 - 16.02.2019 17:30","3565","3614"
"16.02.2019 17:30 - 16.02.2019 18:00","3613","3647"
"16.02.2019 18:00 - 16.02.2019 18:30","3734","3785"
"16.02.2019 18:30 - 16.02.2019 19:00","3910","3957"
"16.02.2019 19:00 - 16.02.2019 19:30","4150","4163"
"16.02.2019 19:30 - 16.02.2019 20:00","4191","4166"
"16.02.2019 20:00 - 16.02.2019 20:30","4173","4066"
"16.02.2019 20:30 - 16.02.2019 21:00","4083","3971"
"16.02.2019 21:00 - 16.02.2019 21:30","3948","3844"
"16.02.2019 21:30 - 16.02.2019 22:00","3822","3709"
"16.02.2019 22:00 - 16.02.2019 22:30","3721","3610"
"16.02.2019 22:30 - 16.02.2019 23:00","3596","3489"
"16.02.2019 23:00 - 16.02.2019 23:30","3477","3332"
"16.02.2019 23:30 - 17.02.2019 00:00","3383","3212"
"17.02.2019 00:00 - 17.02.2019 00:30","3383","3173"
"17.02.2019 00:30 - 17.02.2019 01:00","3427","3181"
"17.02.2019 01:00 - 17.02.2019 01:30","3330","3080"
"17.02.2019 01:30 - 17.02.2019 02:00","3219","2993"
"17.02.2019 02:00 - 17.02.2019 02:30","3079","2899"
"17.02.2019 02:30 - 17.02.2019 03:00","2950","2792"
"17.02.2019 03:00 - 17.02.2019 03:30","2857","2725"
"17.02.2019 03:30 - 17.02.2019 04:00","2795","2688"
"17.02.2019 04:00 - 17.02.2019 04:30","2733","2598"
"17.02.2019 04:30 - 17.02.2019 05:00","2685","2585"
"17.02.2019 05:00 - 17.02.2019 05:30","2649","2532"
"17.02.2019 05:30 - 17.02.2019 06:00","2627","2518"
"17.02.2019 06:00 - 17.02.2019 06:30","2586","2523"
"17.02.2019 06:30 - 17.02.2019 07:00","2578","2513"
"17.02.2019 07:00 - 17.02.2019 07:30","2580","2523"
"17.02.2019 07:30 - 17.02.2019 08:00","2633","2586"
"17.02.2019 08:00 - 17.02.2019 08:30","2673","2635"
"17.02.2019 08:30 - 17.02.2019 09:00","2707","2715"
"17.02.2019 09:00 - 17.02.2019 09:30","2699","2700"
"17.02.2019 09:30 - 17.02.2019 10:00","2744","2821"
"17.02.2019 10:00 - 17.02.2019 10:30","2875","2960"
"17.02.2019 10:30 - 17.02.2019 11:00","3068","3135"
"17.02.2019 11:00 - 17.02.2019 11:30","3196","3194"
"17.02.2019 11:30 - 17.02.2019 12:00","3301","3328"
"17.02.2019 12:00 - 17.02.2019 12:30","3370","3328"
"17.02.2019 12:30 - 17.02.2019 13:00","3441","3380"
"17.02.2019 13:00 - 17.02.2019 13:30","3491","3429"
"17.02.2019 13:30 - 17.02.2019 14:00","3541","3490"
"17.02.2019 14:00 - 17.02.2019 14:30","3581","3475"
"17.02.2019 14:30 - 17.02.2019 15:00","3554","3455"
"17.02.2019 15:00 - 17.02.2019 15:30","3527","3399"
"17.02.2019 15:30 - 17.02.2019 16:00","3450","3329"
"17.02.2019 16:00 - 17.02.2019 16:30","3429","3302"
"17.02.2019 16:30 - 17.02.2019 17:00","3410","3284"
"17.02.2019 17:00 - 17.02.2019 17:30","3437","3342"
"17.02.2019 17:30 - 17.02.2019 18:00","3492","3416"
"17.02.2019 18:00 - 17.02.2019 18:30","3572","3527"
"17.02.2019 18:30 - 17.02.2019 19:00","3715","3655"
"17.02.2019 19:00 - 17.02.2019 19:30","4005","3852"
"17.02.2019 19:30 - 17.02.2019 20:00","4060","3966"
"17.02.2019 20:00 - 17.02.2019 20:30","4044","3917"
"17.02.2019 20:30 - 17.02.2019 21:00","3949","3819"
"17.02.2019 21:00 - 17.02.2019 21:30","3879","3737"
"17.02.2019 21:30 - 17.02.2019 22:00","3800","3647"
"17.02.2019 22:00 - 17.02.2019 22:30","3712","3553"
"17.02.2019 22:30 - 17.02.2019 23:00","3605","3480"
"17.02.2019 23:00 - 17.02.2019 23:30","3476","3313"
"17.02.2019 23:30 - 18.02.2019 00:00","3367","3173"
"18.02.2019 00:00 - 18.02.2019 00:30","3361","3100"
"18.02.2019 00:30 - 18.02.2019 01:00","3376","3082"
"18.02.2019 01:00 - 18.02.2019 01:30","2985","3000"
"18.02.2019 01:30 - 18.02.2019 02:00","2881","2893"
"18.02.2019 02:00 - 18.02.2019 02:30","2791","2809"
"18.02.2019 02:30 - 18.02.2019 03:00","2709","2763"
"18.02.2019 03:00 - 18.02.2019 03:30","2659","2748"
"18.02.2019 03:30 - 18.02.2019 04:00","2607","2724"
"18.02.2019 04:00 - 18.02.2019 04:30","2587","2662"
"18.02.2019 04:30 - 18.02.2019 05:00","2577","2601"
"18.02.2019 05:00 - 18.02.2019 05:30","2582","2614"
"18.02.2019 05:30 - 18.02.2019 06:00","2582","2634"
"18.02.2019 06:00 - 18.02.2019 06:30","2629","2638"
"18.02.2019 06:30 - 18.02.2019 07:00","2694","2728"
"18.02.2019 07:00 - 18.02.2019 07:30","2894","2850"
"18.02.2019 07:30 - 18.02.2019 08:00","3130","3096"
"18.02.2019 08:00 - 18.02.2019 08:30","3511","3335"
"18.02.2019 08:30 - 18.02.2019 09:00","3730","3517"
"18.02.2019 09:00 - 18.02.2019 09:30","3801","3685"
"18.02.2019 09:30 - 18.02.2019 10:00","3836","3827"
"18.02.2019 10:00 - 18.02.2019 10:30","3930","3925"
"18.02.2019 10:30 - 18.02.2019 11:00","3984","3914"
"18.02.2019 11:00 - 18.02.2019 11:30","3987","3938"
"18.02.2019 11:30 - 18.02.2019 12:00","4005","3950"
"18.02.2019 12:00 - 18.02.2019 12:30","4008","3945"
"18.02.2019 12:30 - 18.02.2019 13:00","4005","3973"
"18.02.2019 13:00 - 18.02.2019 13:30","4007","3959"
"18.02.2019 13:30 - 18.02.2019 14:00","4018","4005"
"18.02.2019 14:00 - 18.02.2019 14:30","3968","3995"
"18.02.2019 14:30 - 18.02.2019 15:00","3910","3913"
"18.02.2019 15:00 - 18.02.2019 15:30","3901","3926"
"18.02.2019 15:30 - 18.02.2019 16:00","3900","3900"
"18.02.2019 16:00 - 18.02.2019 16:30","3930","3879"
"18.02.2019 16:30 - 18.02.2019 17:00","3955","3880"
"18.02.2019 17:00 - 18.02.2019 17:30","4021","3925"
"18.02.2019 17:30 - 18.02.2019 18:00","4093","4008"
"18.02.2019 18:00 - 18.02.2019 18:30","4212","4064"
"18.02.2019 18:30 - 18.02.2019 19:00","4357","4203"
"18.02.2019 19:00 - 18.02.2019 19:30","4484","4386"
"18.02.2019 19:30 - 18.02.2019 20:00","4498","4506"
"18.02.2019 20:00 - 18.02.2019 20:30","4412","4441"
"18.02.2019 20:30 - 18.02.2019 21:00","4304","4313"
"18.02.2019 21:00 - 18.02.2019 21:30","4192","4109"
"18.02.2019 21:30 - 18.02.2019 22:00","4058","4053"
"18.02.2019 22:00 - 18.02.2019 22:30","3902","3885"
"18.02.2019 22:30 - 18.02.2019 23:00","3718","3706"
"18.02.2019 23:00 - 18.02.2019 23:30","3552","3571"
"18.02.2019 23:30 - 19.02.2019 00:00","3379","3395"
"19.02.2019 00:00 - 19.02.2019 00:30","3382","3278"
"19.02.2019 00:30 - 19.02.2019 01:00","3276","3239"
"19.02.2019 01:00 - 19.02.2019 01:30","3145","3066"
"19.02.2019 01:30 - 19.02.2019 02:00","3015","2975"
"19.02.2019 02:00 - 19.02.2019 02:30","2935","2860"
"19.02.2019 02:30 - 19.02.2019 03:00","2854","2818"
"19.02.2019 03:00 - 19.02.2019 03:30","2799","2730"
"19.02.2019 03:30 - 19.02.2019 04:00","2785","2705"
"19.02.2019 04:00 - 19.02.2019 04:30","2750","2665"
"19.02.2019 04:30 - 19.02.2019 05:00","2746","2670"
"19.02.2019 05:00 - 19.02.2019 05:30","2770","2664"
"19.02.2019 05:30 - 19.02.2019 06:00","2757","2663"
"19.02.2019 06:00 - 19.02.2019 06:30","2793","2687"
"19.02.2019 06:30 - 19.02.2019 07:00","2855","2749"
"19.02.2019 07:00 - 19.02.2019 07:30","3045","2858"
"19.02.2019 07:30 - 19.02.2019 08:00","3278","3077"
"19.02.2019 08:00 - 19.02.2019 08:30","3654","3311"
"19.02.2019 08:30 - 19.02.2019 09:00","3840","3581"
"19.02.2019 09:00 - 19.02.2019 09:30","3900","3718"
"19.02.2019 09:30 - 19.02.2019 10:00","3907","3819"
"19.02.2019 10:00 - 19.02.2019 10:30","4009","3916"
"19.02.2019 10:30 - 19.02.2019 11:00","4054","3976"
"19.02.2019 11:00 - 19.02.2019 11:30","4023","4010"
"19.02.2019 11:30 - 19.02.2019 12:00","4032","4033"
"19.02.2019 12:00 - 19.02.2019 12:30","4022","4053"
"19.02.2019 12:30 - 19.02.2019 13:00","4005","4076"
"19.02.2019 13:00 - 19.02.2019 13:30","4003","4119"
"19.02.2019 13:30 - 19.02.2019 14:00","4011","4176"
"19.02.2019 14:00 - 19.02.2019 14:30","3964","4169"
"19.02.2019 14:30 - 19.02.2019 15:00","3897","4149"
"19.02.2019 15:00 - 19.02.2019 15:30","3914","4120"
"19.02.2019 15:30 - 19.02.2019 16:00","3904","4145"
"19.02.2019 16:00 - 19.02.2019 16:30","3928","4127"
"19.02.2019 16:30 - 19.02.2019 17:00","3941","4176"
"19.02.2019 17:00 - 19.02.2019 17:30","3995","4243"
"19.02.2019 17:30 - 19.02.2019 18:00","4074","4292"
"19.02.2019 18:00 - 19.02.2019 18:30","4167","4394"
"19.02.2019 18:30 - 19.02.2019 19:00","4304","4520"
"19.02.2019 19:00 - 19.02.2019 19:30","4519","4659"
"19.02.2019 19:30 - 19.02.2019 20:00","4602","4629"
"19.02.2019 20:00 - 19.02.2019 20:30","4540","4554"
"19.02.2019 20:30 - 19.02.2019 21:00","4461","4462"
"19.02.2019 21:00 - 19.02.2019 21:30","4329","4306"
"19.02.2019 21:30 - 19.02.2019 22:00","4220","4190"
"19.02.2019 22:00 - 19.02.2019 22:30","4055","4060"
"19.02.2019 22:30 - 19.02.2019 23:00","3888","3897"
"19.02.2019 23:00 - 19.02.2019 23:30","3670","3745"
"19.02.2019 23:30 - 20.02.2019 00:00","3492","3540"
"20.02.2019 00:00 - 20.02.2019 00:30","3457","3439"
"20.02.2019 00:30 - 20.02.2019 01:00","3336","3366"
"20.02.2019 01:00 - 20.02.2019 01:30","3216","3228"
"20.02.2019 01:30 - 20.02.2019 02:00","3108","3135"
"20.02.2019 02:00 - 20.02.2019 02:30","3015","3028"
"20.02.2019 02:30 - 20.02.2019 03:00","2949","2936"
"20.02.2019 03:00 - 20.02.2019 03:30","2894","2850"
"20.02.2019 03:30 - 20.02.2019 04:00","2837","2801"
"20.02.2019 04:00 - 20.02.2019 04:30","2809","2761"
"20.02.2019 04:30 - 20.02.2019 05:00","2804","2733"
"20.02.2019 05:00 - 20.02.2019 05:30","2815","2736"
"20.02.2019 05:30 - 20.02.2019 06:00","2812","2718"
"20.02.2019 06:00 - 20.02.2019 06:30","2849","2747"
"20.02.2019 06:30 - 20.02.2019 07:00","2911","2809"
"20.02.2019 07:00 - 20.02.2019 07:30","3102","2927"
"20.02.2019 07:30 - 20.02.2019 08:00","3108","3141"
"20.02.2019 08:00 - 20.02.2019 08:30","3351","3410"
"20.02.2019 08:30 - 20.02.2019 09:00","3664","3650"
"20.02.2019 09:00 - 20.02.2019 09:30","3797","3805"
"20.02.2019 09:30 - 20.02.2019 10:00","3914","3899"
"20.02.2019 10:00 - 20.02.2019 10:30","3994","3986"
"20.02.2019 10:30 - 20.02.2019 11:00","4076","4046"
"20.02.2019 11:00 - 20.02.2019 11:30","4121","4068"
"20.02.2019 11:30 - 20.02.2019 12:00","4131","4044"
"20.02.2019 12:00 - 20.02.2019 12:30","4137","4056"
"20.02.2019 12:30 - 20.02.2019 13:00","4141","4001"
"20.02.2019 13:00 - 20.02.2019 13:30","4132","3991"
"20.02.2019 13:30 - 20.02.2019 14:00","4152","4023"
"20.02.2019 14:00 - 20.02.2019 14:30","4132","3993"
"20.02.2019 14:30 - 20.02.2019 15:00","4052","3916"
"20.02.2019 15:00 - 20.02.2019 15:30","4049","3908"
"20.02.2019 15:30 - 20.02.2019 16:00","4042","3905"
"20.02.2019 16:00 - 20.02.2019 16:30","4036","3910"
"20.02.2019 16:30 - 20.02.2019 17:00","4060","3938"
"20.02.2019 17:00 - 20.02.2019 17:30","4095","3958"
"20.02.2019 17:30 - 20.02.2019 18:00","4169","4013"
"20.02.2019 18:00 - 20.02.2019 18:30","4237","4090"
"20.02.2019 18:30 - 20.02.2019 19:00","4388","4226"
"20.02.2019 19:00 - 20.02.2019 19:30","4628","4413"
"20.02.2019 19:30 - 20.02.2019 20:00","4677","4465"
"20.02.2019 20:00 - 20.02.2019 20:30","4643","4397"
"20.02.2019 20:30 - 20.02.2019 21:00","4552","4304"
"20.02.2019 21:00 - 20.02.2019 21:30","4435","4213"
"20.02.2019 21:30 - 20.02.2019 22:00","4288","4120"
"20.02.2019 22:00 - 20.02.2019 22:30","4197","3988"
"20.02.2019 22:30 - 20.02.2019 23:00","4027","3851"
"20.02.2019 23:00 - 20.02.2019 23:30","3883","3725"
"20.02.2019 23:30 - 21.02.2019 00:00","3689","3495"
"21.02.2019 00:00 - 21.02.2019 00:30","3629","3422"
"21.02.2019 00:30 - 21.02.2019 01:00","3621","3370"
"21.02.2019 01:00 - 21.02.2019 01:30","3455","3211"
"21.02.2019 01:30 - 21.02.2019 02:00","3323","3099"
"21.02.2019 02:00 - 21.02.2019 02:30","3173","2982"
"21.02.2019 02:30 - 21.02.2019 03:00","3058","2884"
"21.02.2019 03:00 - 21.02.2019 03:30","2954","2842"
"21.02.2019 03:30 - 21.02.2019 04:00","2888","2780"
"21.02.2019 04:00 - 21.02.2019 04:30","2842","2723"
"21.02.2019 04:30 - 21.02.2019 05:00","2832","2730"
"21.02.2019 05:00 - 21.02.2019 05:30","2807","2696"
"21.02.2019 05:30 - 21.02.2019 06:00","2785","2693"
"21.02.2019 06:00 - 21.02.2019 06:30","2789","2706"
"21.02.2019 06:30 - 21.02.2019 07:00","2820","2748"
"21.02.2019 07:00 - 21.02.2019 07:30","2886","2866"
"21.02.2019 07:30 - 21.02.2019 08:00","3103","3056"
"21.02.2019 08:00 - 21.02.2019 08:30","3324","3310"
"21.02.2019 08:30 - 21.02.2019 09:00","3583","3544"
"21.02.2019 09:00 - 21.02.2019 09:30","3695","3708"
"21.02.2019 09:30 - 21.02.2019 10:00","3809","3837"
"21.02.2019 10:00 - 21.02.2019 10:30","3953","3912"
"21.02.2019 10:30 - 21.02.2019 11:00","4067","4003"
"21.02.2019 11:00 - 21.02.2019 11:30","4121","3995"
"21.02.2019 11:30 - 21.02.2019 12:00","4124","3954"
"21.02.2019 12:00 - 21.02.2019 12:30","4138","3962"
"21.02.2019 12:30 - 21.02.2019 13:00","4134","3937"
"21.02.2019 13:00 - 21.02.2019 13:30","4129","3974"
"21.02.2019 13:30 - 21.02.2019 14:00","4137","3963"
"21.02.2019 14:00 - 21.02.2019 14:30","4118","3946"
"21.02.2019 14:30 - 21.02.2019 15:00","4049","3920"
"21.02.2019 15:00 - 21.02.2019 15:30","4021","3892"
"21.02.2019 15:30 - 21.02.2019 16:00","4019","3889"
"21.02.2019 16:00 - 21.02.2019 16:30","4016","3892"
"21.02.2019 16:30 - 21.02.2019 17:00","4021","3876"
"21.02.2019 17:00 - 21.02.2019 17:30","4054","3930"
"21.02.2019 17:30 - 21.02.2019 18:00","4078","4009"
"21.02.2019 18:00 - 21.02.2019 18:30","4175","4089"
"21.02.2019 18:30 - 21.02.2019 19:00","4269","4237"
"21.02.2019 19:00 - 21.02.2019 19:30","4468","4409"
"21.02.2019 19:30 - 21.02.2019 20:00","4619","4449"
"21.02.2019 20:00 - 21.02.2019 20:30","4615","4411"
"21.02.2019 20:30 - 21.02.2019 21:00","4513","4301"
"21.02.2019 21:00 - 21.02.2019 21:30","4416","4197"
"21.02.2019 21:30 - 21.02.2019 22:00","4293","4094"
"21.02.2019 22:00 - 21.02.2019 22:30","4212","3997"
"21.02.2019 22:30 - 21.02.2019 23:00","4040","3832"
"21.02.2019 23:00 - 21.02.2019 23:30","3857","3635"
"21.02.2019 23:30 - 22.02.2019 00:00","3701","3461"
"22.02.2019 00:00 - 22.02.2019 00:30","3631","3401"
"22.02.2019 00:30 - 22.02.2019 01:00","3618","3332"
"22.02.2019 01:00 - 22.02.2019 01:30","3463","3187"
"22.02.2019 01:30 - 22.02.2019 02:00","3323","3083"
"22.02.2019 02:00 - 22.02.2019 02:30","3189","2973"
"22.02.2019 02:30 - 22.02.2019 03:00","3046","2886"
"22.02.2019 03:00 - 22.02.2019 03:30","2968","2799"
"22.02.2019 03:30 - 22.02.2019 04:00","2895","2778"
"22.02.2019 04:00 - 22.02.2019 04:30","2846","2714"
"22.02.2019 04:30 - 22.02.2019 05:00","2829","2693"
"22.02.2019 05:00 - 22.02.2019 05:30","2813","2673"
"22.02.2019 05:30 - 22.02.2019 06:00","2770","2655"
"22.02.2019 06:00 - 22.02.2019 06:30","2758","2703"
"22.02.2019 06:30 - 22.02.2019 07:00","2804","2745"
"22.02.2019 07:00 - 22.02.2019 07:30","2887","2851"
"22.02.2019 07:30 - 22.02.2019 08:00","3072","3046"
"22.02.2019 08:00 - 22.02.2019 08:30","3293","3267"
"22.02.2019 08:30 - 22.02.2019 09:00","3536","3475"
"22.02.2019 09:00 - 22.02.2019 09:30","3679","3585"
"22.02.2019 09:30 - 22.02.2019 10:00","3824","3714"
"22.02.2019 10:00 - 22.02.2019 10:30","3945","3813"
"22.02.2019 10:30 - 22.02.2019 11:00","4076","3890"
"22.02.2019 11:00 - 22.02.2019 11:30","4098","3957"
"22.02.2019 11:30 - 22.02.2019 12:00","4104","3938"
"22.02.2019 12:00 - 22.02.2019 12:30","4136","3978"
"22.02.2019 12:30 - 22.02.2019 13:00","4130","4003"
"22.02.2019 13:00 - 22.02.2019 13:30","4114","4027"
"22.02.2019 13:30 - 22.02.2019 14:00","4117","4043"
"22.02.2019 14:00 - 22.02.2019 14:30","4115","3978"
"22.02.2019 14:30 - 22.02.2019 15:00","4057","3893"
"22.02.2019 15:00 - 22.02.2019 15:30","4044","3887"
"22.02.2019 15:30 - 22.02.2019 16:00","4018","3871"
"22.02.2019 16:00 - 22.02.2019 16:30","4010","3857"
"22.02.2019 16:30 - 22.02.2019 17:00","4008","3839"
"22.02.2019 17:00 - 22.02.2019 17:30","4028","3853"
"22.02.2019 17:30 - 22.02.2019 18:00","4048","3888"
"22.02.2019 18:00 - 22.02.2019 18:30","4114","3921"
"22.02.2019 18:30 - 22.02.2019 19:00","4223","4033"
"22.02.2019 19:00 - 22.02.2019 19:30","4425","4230"
"22.02.2019 19:30 - 22.02.2019 20:00","4520","4307"
"22.02.2019 20:00 - 22.02.2019 20:30","4482","4281"
"22.02.2019 20:30 - 22.02.2019 21:00","4418","4196"
"22.02.2019 21:00 - 22.02.2019 21:30","4295","4061"
"22.02.2019 21:30 - 22.02.2019 22:00","4173","3979"
"22.02.2019 22:00 - 22.02.2019 22:30","4111","3878"
"22.02.2019 22:30 - 22.02.2019 23:00","3957","3729"
"22.02.2019 23:00 - 22.02.2019 23:30","3778","3551"
