"Time (CET)","Day-ahead Total Load Forecast [MW] - Germany (DE)","Actual Total Load [MW] - Germany (DE)"
"03.04.2019 01:45 - 03.04.2019 02:00","44912","47252"
"03.04.2019 02:00 - 03.04.2019 02:15","44615","47114"
"03.04.2019 02:15 - 03.04.2019 02:30","44490","46957"
"03.04.2019 02:30 - 03.04.2019 02:45","44560","46799"
"03.04.2019 02:45 - 03.04.2019 03:00","44695","46905"
"03.04.2019 03:00 - 03.04.2019 03:15","44792","47044"
"03.04.2019 03:15 - 03.04.2019 03:30","44917","47211"
"03.04.2019 03:30 - 03.04.2019 03:45","45030","47029"
"03.04.2019 03:45 - 03.04.2019 04:00","45185","47163"
"03.04.2019 04:00 - 03.04.2019 04:15","45645","47764"
"03.04.2019 04:15 - 03.04.2019 04:30","46035","47831"
"03.04.2019 04:30 - 03.04.2019 04:45","46430","48508"
"03.04.2019 04:45 - 03.04.2019 05:00","46955","49309"
"03.04.2019 05:00 - 03.04.2019 05:15","48212","50861"
"03.04.2019 05:15 - 03.04.2019 05:30","48808","51905"
"03.04.2019 05:30 - 03.04.2019 05:45","49889","53330"
"03.04.2019 05:45 - 03.04.2019 06:00","51301","54720"
"03.04.2019 06:00 - 03.04.2019 06:15","53735","57977"
"03.04.2019 06:15 - 03.04.2019 06:30","55647","60368"
"03.04.2019 06:30 - 03.04.2019 06:45","57070","62053"
"03.04.2019 06:45 - 03.04.2019 07:00","58176","63286"
"03.04.2019 07:00 - 03.04.2019 07:15","59646","64649"
"03.04.2019 07:15 - 03.04.2019 07:30","60633","65093"
"03.04.2019 07:30 - 03.04.2019 07:45","61122","65754"
"03.04.2019 07:45 - 03.04.2019 08:00","61784","66319"
"03.04.2019 08:00 - 03.04.2019 08:15","62397","67050"
"03.04.2019 08:15 - 03.04.2019 08:30","62759","67463"
"03.04.2019 08:30 - 03.04.2019 08:45","63046","67517"
"03.04.2019 08:45 - 03.04.2019 09:00","63184","67568"
"03.04.2019 09:00 - 03.04.2019 09:15","62889","67331"
"03.04.2019 09:15 - 03.04.2019 09:30","63114","67479"
"03.04.2019 09:30 - 03.04.2019 09:45","63541","68061"
"03.04.2019 09:45 - 03.04.2019 10:00","63677","68330"
"03.04.2019 10:00 - 03.04.2019 10:15","63762","68487"
"03.04.2019 10:15 - 03.04.2019 10:30","64017","68815"
"03.04.2019 10:30 - 03.04.2019 10:45","64216","68993"
"03.04.2019 10:45 - 03.04.2019 11:00","64419","69476"
"03.04.2019 11:00 - 03.04.2019 11:15","64796","69704"
"03.04.2019 11:15 - 03.04.2019 11:30","65260","69931"
"03.04.2019 11:30 - 03.04.2019 11:45","65404","70181"
"03.04.2019 11:45 - 03.04.2019 12:00","64818","70027"
"03.04.2019 12:00 - 03.04.2019 12:15","64934","69394"
"03.04.2019 12:15 - 03.04.2019 12:30","64586","69272"
"03.04.2019 12:30 - 03.04.2019 12:45","64456","69041"
"03.04.2019 12:45 - 03.04.2019 13:00","64544","69079"
"03.04.2019 13:00 - 03.04.2019 13:15","64106","69268"
"03.04.2019 13:15 - 03.04.2019 13:30","63861","69171"
"03.04.2019 13:30 - 03.04.2019 13:45","63431","68843"
"03.04.2019 13:45 - 03.04.2019 14:00","62682","68360"
"03.04.2019 14:00 - 03.04.2019 14:15","62510","68085"
"03.04.2019 14:15 - 03.04.2019 14:30","62170","68278"
"03.04.2019 14:30 - 03.04.2019 14:45","61997","67970"
"03.04.2019 14:45 - 03.04.2019 15:00","62371","67599"
"03.04.2019 15:00 - 03.04.2019 15:15","62551","67184"
"03.04.2019 15:15 - 03.04.2019 15:30","61708","66948"
"03.04.2019 15:30 - 03.04.2019 15:45","61327","66621"
"03.04.2019 15:45 - 03.04.2019 16:00","61073","66313"
"03.04.2019 16:00 - 03.04.2019 16:15","60809","65923"
"03.04.2019 16:15 - 03.04.2019 16:30","60871","65696"
"03.04.2019 16:30 - 03.04.2019 16:45","60774","65466"
"03.04.2019 16:45 - 03.04.2019 17:00","60111","65329"
"03.04.2019 17:00 - 03.04.2019 17:15","60143","65538"
"03.04.2019 17:15 - 03.04.2019 17:30","60177","65707"
"03.04.2019 17:30 - 03.04.2019 17:45","60363","65389"
"03.04.2019 17:45 - 03.04.2019 18:00","60350","65618"
"03.04.2019 18:00 - 03.04.2019 18:15","60293","65217"
"03.04.2019 18:15 - 03.04.2019 18:30","60439","65024"
"03.04.2019 18:30 - 03.04.2019 18:45","60744","65131"
"03.04.2019 18:45 - 03.04.2019 19:00","61127","65204"
"03.04.2019 19:00 - 03.04.2019 19:15","61462","65670"
"03.04.2019 19:15 - 03.04.2019 19:30","61434","65693"
"03.04.2019 19:30 - 03.04.2019 19:45","61238","65747"
"03.04.2019 19:45 - 03.04.2019 20:00","61140","66013"
"03.04.2019 20:00 - 03.04.2019 20:15","60730","66013"
"03.04.2019 20:15 - 03.04.2019 20:30","60209","65737"
"03.04.2019 20:30 - 03.04.2019 20:45","59482","64881"
"03.04.2019 20:45 - 03.04.2019 21:00","58810","63854"
"03.04.2019 21:00 - 03.04.2019 21:15","57872","63014"
"03.04.2019 21:15 - 03.04.2019 21:30","57371","62082"
"03.04.2019 21:30 - 03.04.2019 21:45","56418","61306"
"03.04.2019 21:45 - 03.04.2019 22:00","55973","60294"
"03.04.2019 22:00 - 03.04.2019 22:15","55633","59126"
"03.04.2019 22:15 - 03.04.2019 22:30","54793","58224"
"03.04.2019 22:30 - 03.04.2019 22:45","53823","57233"
"03.04.2019 22:45 - 03.04.2019 23:00","52536","56069"
"03.04.2019 23:00 - 03.04.2019 23:15","51333","54698"
"03.04.2019 23:15 - 03.04.2019 23:30","50438","53454"
"03.04.2019 23:30 - 03.04.2019 23:45","49562","52570"
"03.04.2019 23:45 - 04.04.2019 00:00","48794","51524"
"04.04.2019 00:00 - 04.04.2019 00:15","47952","51345"
"04.04.2019 00:15 - 04.04.2019 00:30","47419","50601"
"04.04.2019 00:30 - 04.04.2019 00:45","46881","49715"
"04.04.2019 00:45 - 04.04.2019 01:00","46347","49292"
"04.04.2019 01:00 - 04.04.2019 01:15","45823","48718"
"04.04.2019 01:15 - 04.04.2019 01:30","45475","48606"
"04.04.2019 01:30 - 04.04.2019 01:45","45215","48200"
"04.04.2019 01:45 - 04.04.2019 02:00","44986","47947"
"04.04.2019 02:00 - 04.04.2019 02:15","44603","47440"
"04.04.2019 02:15 - 04.04.2019 02:30","44465","47205"
"04.04.2019 02:30 - 04.04.2019 02:45","44495","47479"
"04.04.2019 02:45 - 04.04.2019 03:00","44627","47460"
"04.04.2019 03:00 - 04.04.2019 03:15","44679","47437"
"04.04.2019 03:15 - 04.04.2019 03:30","44897","47678"
"04.04.2019 03:30 - 04.04.2019 03:45","44946","47663"
"04.04.2019 03:45 - 04.04.2019 04:00","45099","48099"
"04.04.2019 04:00 - 04.04.2019 04:15","45532","48592"
"04.04.2019 04:15 - 04.04.2019 04:30","45944","49045"
"04.04.2019 04:30 - 04.04.2019 04:45","46370","49688"
"04.04.2019 04:45 - 04.04.2019 05:00","46887","50167"
"04.04.2019 05:00 - 04.04.2019 05:15","47946","51673"
"04.04.2019 05:15 - 04.04.2019 05:30","48629","52490"
"04.04.2019 05:30 - 04.04.2019 05:45","49663","53430"
"04.04.2019 05:45 - 04.04.2019 06:00","51004","54608"
"04.04.2019 06:00 - 04.04.2019 06:15","53423","57630"
"04.04.2019 06:15 - 04.04.2019 06:30","55120","59843"
"04.04.2019 06:30 - 04.04.2019 06:45","56630","62025"
"04.04.2019 06:45 - 04.04.2019 07:00","57694","63162"
"04.04.2019 07:00 - 04.04.2019 07:15","58887","64516"
"04.04.2019 07:15 - 04.04.2019 07:30","59672","65493"
"04.04.2019 07:30 - 04.04.2019 07:45","60893","66144"
"04.04.2019 07:45 - 04.04.2019 08:00","61426","66828"
"04.04.2019 08:00 - 04.04.2019 08:15","62125","67709"
"04.04.2019 08:15 - 04.04.2019 08:30","62471","68051"
"04.04.2019 08:30 - 04.04.2019 08:45","62643","68272"
"04.04.2019 08:45 - 04.04.2019 09:00","62732","68608"
"04.04.2019 09:00 - 04.04.2019 09:15","62479","67752"
"04.04.2019 09:15 - 04.04.2019 09:30","62735","68063"
"04.04.2019 09:30 - 04.04.2019 09:45","63079","68435"
"04.04.2019 09:45 - 04.04.2019 10:00","63275","68674"
"04.04.2019 10:00 - 04.04.2019 10:15","63379","68822"
"04.04.2019 10:15 - 04.04.2019 10:30","63535","69287"
"04.04.2019 10:30 - 04.04.2019 10:45","63675","69507"
"04.04.2019 10:45 - 04.04.2019 11:00","63884","69650"
"04.04.2019 11:00 - 04.04.2019 11:15","64202","69628"
"04.04.2019 11:15 - 04.04.2019 11:30","64328","70027"
"04.04.2019 11:30 - 04.04.2019 11:45","64589","70412"
"04.04.2019 11:45 - 04.04.2019 12:00","64305","70273"
"04.04.2019 12:00 - 04.04.2019 12:15","64147","69900"
"04.04.2019 12:15 - 04.04.2019 12:30","64084","69882"
"04.04.2019 12:30 - 04.04.2019 12:45","64076","69756"
"04.04.2019 12:45 - 04.04.2019 13:00","64150","69815"
"04.04.2019 13:00 - 04.04.2019 13:15","63750","69517"
"04.04.2019 13:15 - 04.04.2019 13:30","63841","69329"
"04.04.2019 13:30 - 04.04.2019 13:45","63373","68996"
"04.04.2019 13:45 - 04.04.2019 14:00","62896","68467"
"04.04.2019 14:00 - 04.04.2019 14:15","62865","68256"
"04.04.2019 14:15 - 04.04.2019 14:30","62474","68249"
"04.04.2019 14:30 - 04.04.2019 14:45","62355","68062"
"04.04.2019 14:45 - 04.04.2019 15:00","62828","67840"
"04.04.2019 15:00 - 04.04.2019 15:15","62904","67877"
"04.04.2019 15:15 - 04.04.2019 15:30","62059","67374"
"04.04.2019 15:30 - 04.04.2019 15:45","61926","66900"
"04.04.2019 15:45 - 04.04.2019 16:00","61461","66085"
"04.04.2019 16:00 - 04.04.2019 16:15","61162","66021"
"04.04.2019 16:15 - 04.04.2019 16:30","61289","65556"
"04.04.2019 16:30 - 04.04.2019 16:45","61176","65323"
"04.04.2019 16:45 - 04.04.2019 17:00","60594","65112"
"04.04.2019 17:00 - 04.04.2019 17:15","60549","65294"
"04.04.2019 17:15 - 04.04.2019 17:30","60513","65229"
"04.04.2019 17:30 - 04.04.2019 17:45","60695","65145"
"04.04.2019 17:45 - 04.04.2019 18:00","60787","65279"
"04.04.2019 18:00 - 04.04.2019 18:15","60719","65116"
"04.04.2019 18:15 - 04.04.2019 18:30","60682","64760"
"04.04.2019 18:30 - 04.04.2019 18:45","60903","65062"
"04.04.2019 18:45 - 04.04.2019 19:00","61164","65282"
"04.04.2019 19:00 - 04.04.2019 19:15","61405","65327"
"04.04.2019 19:15 - 04.04.2019 19:30","61344","65099"
"04.04.2019 19:30 - 04.04.2019 19:45","61084","65049"
"04.04.2019 19:45 - 04.04.2019 20:00","61055","65364"
"04.04.2019 20:00 - 04.04.2019 20:15","60717","65481"
"04.04.2019 20:15 - 04.04.2019 20:30","60247","65256"
"04.04.2019 20:30 - 04.04.2019 20:45","59341","64392"
"04.04.2019 20:45 - 04.04.2019 21:00","58511","63761"
"04.04.2019 21:00 - 04.04.2019 21:15","57568","62831"
"04.04.2019 21:15 - 04.04.2019 21:30","57118","62349"
"04.04.2019 21:30 - 04.04.2019 21:45","56212","61200"
"04.04.2019 21:45 - 04.04.2019 22:00","55525","60415"
"04.04.2019 22:00 - 04.04.2019 22:15","55279","59930"
"04.04.2019 22:15 - 04.04.2019 22:30","54489","58774"
"04.04.2019 22:30 - 04.04.2019 22:45","53650","57898"
"04.04.2019 22:45 - 04.04.2019 23:00","52489","56725"
"04.04.2019 23:00 - 04.04.2019 23:15","51230","55543"
"04.04.2019 23:15 - 04.04.2019 23:30","50238","54140"
"04.04.2019 23:30 - 04.04.2019 23:45","49293","53252"
"04.04.2019 23:45 - 05.04.2019 00:00","48520","52584"
"05.04.2019 00:00 - 05.04.2019 00:15","47475","51413"
"05.04.2019 00:15 - 05.04.2019 00:30","46887","50902"
"05.04.2019 00:30 - 05.04.2019 00:45","46372","50407"
"05.04.2019 00:45 - 05.04.2019 01:00","45742","49863"
"05.04.2019 01:00 - 05.04.2019 01:15","45240","49148"
"05.04.2019 01:15 - 05.04.2019 01:30","44903","48605"
"05.04.2019 01:30 - 05.04.2019 01:45","44541","48152"
"05.04.2019 01:45 - 05.04.2019 02:00","44416","48159"
"05.04.2019 02:00 - 05.04.2019 02:15","44013","47452"
"05.04.2019 02:15 - 05.04.2019 02:30","43830","47333"
"05.04.2019 02:30 - 05.04.2019 02:45","43949","47418"
"05.04.2019 02:45 - 05.04.2019 03:00","44040","47418"
"05.04.2019 03:00 - 05.04.2019 03:15","44099","47510"
"05.04.2019 03:15 - 05.04.2019 03:30","44261","47547"
"05.04.2019 03:30 - 05.04.2019 03:45","44433","47825"
"05.04.2019 03:45 - 05.04.2019 04:00","44544","47993"
"05.04.2019 04:00 - 05.04.2019 04:15","44945","48499"
"05.04.2019 04:15 - 05.04.2019 04:30","45214","48966"
"05.04.2019 04:30 - 05.04.2019 04:45","45688","49508"
"05.04.2019 04:45 - 05.04.2019 05:00","46226","50125"
"05.04.2019 05:00 - 05.04.2019 05:15","47301","51447"
"05.04.2019 05:15 - 05.04.2019 05:30","47796","51907"
"05.04.2019 05:30 - 05.04.2019 05:45","48710","53169"
"05.04.2019 05:45 - 05.04.2019 06:00","50079","54635"
"05.04.2019 06:00 - 05.04.2019 06:15","52346","57469"
"05.04.2019 06:15 - 05.04.2019 06:30","53994","59661"
"05.04.2019 06:30 - 05.04.2019 06:45","55419","61613"
"05.04.2019 06:45 - 05.04.2019 07:00","56519","62733"
"05.04.2019 07:00 - 05.04.2019 07:15","57888","64381"
"05.04.2019 07:15 - 05.04.2019 07:30","58797","65378"
"05.04.2019 07:30 - 05.04.2019 07:45","59537","66281"
"05.04.2019 07:45 - 05.04.2019 08:00","60212","67067"
"05.04.2019 08:00 - 05.04.2019 08:15","60982","68048"
"05.04.2019 08:15 - 05.04.2019 08:30","61289","68611"
"05.04.2019 08:30 - 05.04.2019 08:45","61550","69128"
"05.04.2019 08:45 - 05.04.2019 09:00","61612","69191"
"05.04.2019 09:00 - 05.04.2019 09:15","61427","69099"
"05.04.2019 09:15 - 05.04.2019 09:30","61674","69309"
"05.04.2019 09:30 - 05.04.2019 09:45","62130","69582"
"05.04.2019 09:45 - 05.04.2019 10:00","62498","69678"
"05.04.2019 10:00 - 05.04.2019 10:15","62656","69727"
"05.04.2019 10:15 - 05.04.2019 10:30","63044","69840"
"05.04.2019 10:30 - 05.04.2019 10:45","63271","69984"
"05.04.2019 10:45 - 05.04.2019 11:00","63627","69898"
"05.04.2019 11:00 - 05.04.2019 11:15","63787","70178"
"05.04.2019 11:15 - 05.04.2019 11:30","63967","70158"
"05.04.2019 11:30 - 05.04.2019 11:45","64251","70252"
"05.04.2019 11:45 - 05.04.2019 12:00","63989","70095"
"05.04.2019 12:00 - 05.04.2019 12:15","63666","69511"
"05.04.2019 12:15 - 05.04.2019 12:30","63537","69372"
"05.04.2019 12:30 - 05.04.2019 12:45","63276","69269"
"05.04.2019 12:45 - 05.04.2019 13:00","63188","69077"
"05.04.2019 13:00 - 05.04.2019 13:15","62694","69216"
"05.04.2019 13:15 - 05.04.2019 13:30","62356","68590"
"05.04.2019 13:30 - 05.04.2019 13:45","61856","67980"
"05.04.2019 13:45 - 05.04.2019 14:00","61129","67150"
"05.04.2019 14:00 - 05.04.2019 14:15","60895","66738"
"05.04.2019 14:15 - 05.04.2019 14:30","60490","66488"
"05.04.2019 14:30 - 05.04.2019 14:45","60324","66089"
"05.04.2019 14:45 - 05.04.2019 15:00","60536","65612"
"05.04.2019 15:00 - 05.04.2019 15:15","60754","65678"
"05.04.2019 15:15 - 05.04.2019 15:30","59703","65072"
"05.04.2019 15:30 - 05.04.2019 15:45","59365","64673"
"05.04.2019 15:45 - 05.04.2019 16:00","58961","63944"
"05.04.2019 16:00 - 05.04.2019 16:15","58684","63705"
"05.04.2019 16:15 - 05.04.2019 16:30","58878","63748"
"05.04.2019 16:30 - 05.04.2019 16:45","58725","63395"
"05.04.2019 16:45 - 05.04.2019 17:00","58121","63242"
"05.04.2019 17:00 - 05.04.2019 17:15","58257","63432"
"05.04.2019 17:15 - 05.04.2019 17:30","58265","63514"
"05.04.2019 17:30 - 05.04.2019 17:45","58435","63576"
"05.04.2019 17:45 - 05.04.2019 18:00","58321","63464"
"05.04.2019 18:00 - 05.04.2019 18:15","58095","63422"
"05.04.2019 18:15 - 05.04.2019 18:30","58406","63055"
"05.04.2019 18:30 - 05.04.2019 18:45","58447","63265"
"05.04.2019 18:45 - 05.04.2019 19:00","58721","63179"
"05.04.2019 19:00 - 05.04.2019 19:15","59105","63420"
"05.04.2019 19:15 - 05.04.2019 19:30","58964","63046"
"05.04.2019 19:30 - 05.04.2019 19:45","58886","62969"
"05.04.2019 19:45 - 05.04.2019 20:00","58808","62954"
"05.04.2019 20:00 - 05.04.2019 20:15","58300","62838"
"05.04.2019 20:15 - 05.04.2019 20:30","57844","62355"
"05.04.2019 20:30 - 05.04.2019 20:45","57084","61659"
"05.04.2019 20:45 - 05.04.2019 21:00","56383","61029"
"05.04.2019 21:00 - 05.04.2019 21:15","55508","60011"
"05.04.2019 21:15 - 05.04.2019 21:30","54945","59040"
"05.04.2019 21:30 - 05.04.2019 21:45","54404","57761"
"05.04.2019 21:45 - 05.04.2019 22:00","53722","56856"
"05.04.2019 22:00 - 05.04.2019 22:15","53356","56152"
"05.04.2019 22:15 - 05.04.2019 22:30","52590","55327"
"05.04.2019 22:30 - 05.04.2019 22:45","51603","54160"
"05.04.2019 22:45 - 05.04.2019 23:00","50631","53620"
"05.04.2019 23:00 - 05.04.2019 23:15","49570","52304"
"05.04.2019 23:15 - 05.04.2019 23:30","48773","51537"
"05.04.2019 23:30 - 05.04.2019 23:45","47921","50635"
"05.04.2019 23:45 - 06.04.2019 00:00","47006","49699"
"06.04.2019 00:00 - 06.04.2019 00:15","45801","48843"
"06.04.2019 00:15 - 06.04.2019 00:30","45110","47750"
"06.04.2019 00:30 - 06.04.2019 00:45","44504","47076"
"06.04.2019 00:45 - 06.04.2019 01:00","43964","46577"
"06.04.2019 01:00 - 06.04.2019 01:15","43385","45976"
"06.04.2019 01:15 - 06.04.2019 01:30","42897","45568"
"06.04.2019 01:30 - 06.04.2019 01:45","42557","45211"
"06.04.2019 01:45 - 06.04.2019 02:00","42287","45139"
"06.04.2019 02:00 - 06.04.2019 02:15","41967","44595"
"06.04.2019 02:15 - 06.04.2019 02:30","41647","44534"
"06.04.2019 02:30 - 06.04.2019 02:45","41559","44421"
"06.04.2019 02:45 - 06.04.2019 03:00","41615","44454"
"06.04.2019 03:00 - 06.04.2019 03:15","41527","44195"
"06.04.2019 03:15 - 06.04.2019 03:30","41538","44416"
"06.04.2019 03:30 - 06.04.2019 03:45","41575","44331"
"06.04.2019 03:45 - 06.04.2019 04:00","41619","44163"
"06.04.2019 04:00 - 06.04.2019 04:15","41798","44178"
"06.04.2019 04:15 - 06.04.2019 04:30","41868","44438"
"06.04.2019 04:30 - 06.04.2019 04:45","41909","44538"
"06.04.2019 04:45 - 06.04.2019 05:00","42008","44643"
"06.04.2019 05:00 - 06.04.2019 05:15","42365","44996"
"06.04.2019 05:15 - 06.04.2019 05:30","42284","44948"
"06.04.2019 05:30 - 06.04.2019 05:45","42461","44905"
"06.04.2019 05:45 - 06.04.2019 06:00","42634","45243"
"06.04.2019 06:00 - 06.04.2019 06:15","42883","45664"
"06.04.2019 06:15 - 06.04.2019 06:30","43380","46282"
"06.04.2019 06:30 - 06.04.2019 06:45","43789","46439"
"06.04.2019 06:45 - 06.04.2019 07:00","44332","46824"
"06.04.2019 07:00 - 06.04.2019 07:15","44998","47749"
"06.04.2019 07:15 - 06.04.2019 07:30","45582","48210"
"06.04.2019 07:30 - 06.04.2019 07:45","46639","49271"
"06.04.2019 07:45 - 06.04.2019 08:00","47580","50168"
"06.04.2019 08:00 - 06.04.2019 08:15","48602","51458"
"06.04.2019 08:15 - 06.04.2019 08:30","49321","52441"
"06.04.2019 08:30 - 06.04.2019 08:45","49957","53295"
"06.04.2019 08:45 - 06.04.2019 09:00","50683","53912"
"06.04.2019 09:00 - 06.04.2019 09:15","51380","54683"
"06.04.2019 09:15 - 06.04.2019 09:30","51834","55217"
"06.04.2019 09:30 - 06.04.2019 09:45","52389","55733"
"06.04.2019 09:45 - 06.04.2019 10:00","52645","56044"
"06.04.2019 10:00 - 06.04.2019 10:15","52925","55995"
"06.04.2019 10:15 - 06.04.2019 10:30","53149","55996"
"06.04.2019 10:30 - 06.04.2019 10:45","53297","56056"
"06.04.2019 10:45 - 06.04.2019 11:00","53470","56190"
"06.04.2019 11:00 - 06.04.2019 11:15","53783","55701"
"06.04.2019 11:15 - 06.04.2019 11:30","54105","55519"
"06.04.2019 11:30 - 06.04.2019 11:45","54290","55636"
"06.04.2019 11:45 - 06.04.2019 12:00","53918","55614"
"06.04.2019 12:00 - 06.04.2019 12:15","53719","55697"
"06.04.2019 12:15 - 06.04.2019 12:30","53648","55198"
"06.04.2019 12:30 - 06.04.2019 12:45","53053","54923"
"06.04.2019 12:45 - 06.04.2019 13:00","52760","54831"
"06.04.2019 13:00 - 06.04.2019 13:15","51835","54632"
"06.04.2019 13:15 - 06.04.2019 13:30","51678","54072"
"06.04.2019 13:30 - 06.04.2019 13:45","51129","53705"
"06.04.2019 13:45 - 06.04.2019 14:00","50266","53405"
"06.04.2019 14:00 - 06.04.2019 14:15","49941","52886"
"06.04.2019 14:15 - 06.04.2019 14:30","49458","52381"
"06.04.2019 14:30 - 06.04.2019 14:45","49430","52210"
"06.04.2019 14:45 - 06.04.2019 15:00","49857","51925"
"06.04.2019 15:00 - 06.04.2019 15:15","49922","51920"
"06.04.2019 15:15 - 06.04.2019 15:30","49176","51552"
"06.04.2019 15:30 - 06.04.2019 15:45","49119","51228"
"06.04.2019 15:45 - 06.04.2019 16:00","48819","50967"
"06.04.2019 16:00 - 06.04.2019 16:15","48865","50953"
"06.04.2019 16:15 - 06.04.2019 16:30","49297","50717"
"06.04.2019 16:30 - 06.04.2019 16:45","49230","50182"
"06.04.2019 16:45 - 06.04.2019 17:00","48543","50000"
"06.04.2019 17:00 - 06.04.2019 17:15","49038","50257"
"06.04.2019 17:15 - 06.04.2019 17:30","49157","50134"
"06.04.2019 17:30 - 06.04.2019 17:45","49849","50329"
"06.04.2019 17:45 - 06.04.2019 18:00","49973","50590"
"06.04.2019 18:00 - 06.04.2019 18:15","50402","51101"
"06.04.2019 18:15 - 06.04.2019 18:30","50649","51016"
"06.04.2019 18:30 - 06.04.2019 18:45","50975","51413"
"06.04.2019 18:45 - 06.04.2019 19:00","51424","51471"
"06.04.2019 19:00 - 06.04.2019 19:15","52073","51218"
"06.04.2019 19:15 - 06.04.2019 19:30","52133","51313"
"06.04.2019 19:30 - 06.04.2019 19:45","51916","51329"
"06.04.2019 19:45 - 06.04.2019 20:00","51334","51366"
"06.04.2019 20:00 - 06.04.2019 20:15","51335","51607"
"06.04.2019 20:15 - 06.04.2019 20:30","50756","51867"
"06.04.2019 20:30 - 06.04.2019 20:45","49772","51899"
"06.04.2019 20:45 - 06.04.2019 21:00","49457","51608"
"06.04.2019 21:00 - 06.04.2019 21:15","48587","51319"
"06.04.2019 21:15 - 06.04.2019 21:30","48330","50828"
"06.04.2019 21:30 - 06.04.2019 21:45","48359","50209"
"06.04.2019 21:45 - 06.04.2019 22:00","48120","50072"
"06.04.2019 22:00 - 06.04.2019 22:15","48199","49938"
"06.04.2019 22:15 - 06.04.2019 22:30","47644","49233"
"06.04.2019 22:30 - 06.04.2019 22:45","46902","48583"
"06.04.2019 22:45 - 06.04.2019 23:00","45922","47690"
"06.04.2019 23:00 - 06.04.2019 23:15","44960","46667"
"06.04.2019 23:15 - 06.04.2019 23:30","44223","45864"
"06.04.2019 23:30 - 06.04.2019 23:45","43601","45162"
"06.04.2019 23:45 - 07.04.2019 00:00","43065","44252"
"07.04.2019 00:00 - 07.04.2019 00:15","41186","43185"
"07.04.2019 00:15 - 07.04.2019 00:30","40591","42436"
"07.04.2019 00:30 - 07.04.2019 00:45","40096","41726"
"07.04.2019 00:45 - 07.04.2019 01:00","39624","41311"
"07.04.2019 01:00 - 07.04.2019 01:15","39114","40757"
"07.04.2019 01:15 - 07.04.2019 01:30","38728","40213"
"07.04.2019 01:30 - 07.04.2019 01:45","38356","39752"
"07.04.2019 01:45 - 07.04.2019 02:00","38216","39386"
"07.04.2019 02:00 - 07.04.2019 02:15","37841","39182"
"07.04.2019 02:15 - 07.04.2019 02:30","37665","39092"
"07.04.2019 02:30 - 07.04.2019 02:45","37554","38691"
"07.04.2019 02:45 - 07.04.2019 03:00","37545","38616"
"07.04.2019 03:00 - 07.04.2019 03:15","37384","38916"
"07.04.2019 03:15 - 07.04.2019 03:30","37365","38928"
"07.04.2019 03:30 - 07.04.2019 03:45","37424","38717"
"07.04.2019 03:45 - 07.04.2019 04:00","37439","38788"
"07.04.2019 04:00 - 07.04.2019 04:15","37498","39146"
"07.04.2019 04:15 - 07.04.2019 04:30","37651","39135"
"07.04.2019 04:30 - 07.04.2019 04:45","37781","39336"
"07.04.2019 04:45 - 07.04.2019 05:00","37840","39450"
"07.04.2019 05:00 - 07.04.2019 05:15","38150","39619"
"07.04.2019 05:15 - 07.04.2019 05:30","38003","39688"
"07.04.2019 05:30 - 07.04.2019 05:45","38083","39698"
"07.04.2019 05:45 - 07.04.2019 06:00","38028","39739"
"07.04.2019 06:00 - 07.04.2019 06:15","37934","39647"
"07.04.2019 06:15 - 07.04.2019 06:30","38136","39562"
"07.04.2019 06:30 - 07.04.2019 06:45","38232","39525"
"07.04.2019 06:45 - 07.04.2019 07:00","38464","39541"
"07.04.2019 07:00 - 07.04.2019 07:15","38848","40177"
"07.04.2019 07:15 - 07.04.2019 07:30","39229","40756"
"07.04.2019 07:30 - 07.04.2019 07:45","40384","41381"
"07.04.2019 07:45 - 07.04.2019 08:00","41123","42541"
"07.04.2019 08:00 - 07.04.2019 08:15","41958","43634"
"07.04.2019 08:15 - 07.04.2019 08:30","42714","44625"
"07.04.2019 08:30 - 07.04.2019 08:45","43520","45480"
"07.04.2019 08:45 - 07.04.2019 09:00","44092","46211"
"07.04.2019 09:00 - 07.04.2019 09:15","45010","47191"
"07.04.2019 09:15 - 07.04.2019 09:30","45817","47680"
"07.04.2019 09:30 - 07.04.2019 09:45","46364","48262"
"07.04.2019 09:45 - 07.04.2019 10:00","46867","48557"
"07.04.2019 10:00 - 07.04.2019 10:15","47506","48887"
"07.04.2019 10:15 - 07.04.2019 10:30","48041","49525"
"07.04.2019 10:30 - 07.04.2019 10:45","48407","49796"
"07.04.2019 10:45 - 07.04.2019 11:00","48790","50143"
"07.04.2019 11:00 - 07.04.2019 11:15","49417","50889"
"07.04.2019 11:15 - 07.04.2019 11:30","49968","51229"
"07.04.2019 11:30 - 07.04.2019 11:45","50377","51377"
"07.04.2019 11:45 - 07.04.2019 12:00","50012","51452"
"07.04.2019 12:00 - 07.04.2019 12:15","50008","51637"
"07.04.2019 12:15 - 07.04.2019 12:30","49972","50992"
"07.04.2019 12:30 - 07.04.2019 12:45","49395","50374"
"07.04.2019 12:45 - 07.04.2019 13:00","49171","49943"
"07.04.2019 13:00 - 07.04.2019 13:15","48324","49088"
"07.04.2019 13:15 - 07.04.2019 13:30","48173","48540"
"07.04.2019 13:30 - 07.04.2019 13:45","47725","48341"
"07.04.2019 13:45 - 07.04.2019 14:00","46975","48076"
"07.04.2019 14:00 - 07.04.2019 14:15","46700","47470"
"07.04.2019 14:15 - 07.04.2019 14:30","46254","47223"
