"Time (CET)","Day-ahead Total Load Forecast [MW] - Cyprus (CY)","Actual Total Load [MW] - Cyprus (CY)"
"01.01.2019 00:00 - 01.01.2019 00:30","N/A","466"
"01.01.2019 00:30 - 01.01.2019 01:00","N/A","457"
"01.01.2019 01:00 - 01.01.2019 01:30","N/A","441"
"01.01.2019 01:30 - 01.01.2019 02:00","N/A","421"
"01.01.2019 02:00 - 01.01.2019 02:30","N/A","400"
"01.01.2019 02:30 - 01.01.2019 03:00","N/A","386"
"01.01.2019 03:00 - 01.01.2019 03:30","N/A","376"
"01.01.2019 03:30 - 01.01.2019 04:00","N/A","369"
"01.01.2019 04:00 - 01.01.2019 04:30","N/A","364"
"01.01.2019 04:30 - 01.01.2019 05:00","N/A","364"
"01.01.2019 05:00 - 01.01.2019 05:30","N/A","362"
"01.01.2019 05:30 - 01.01.2019 06:00","N/A","349"
"01.01.2019 06:00 - 01.01.2019 06:30","N/A","355"
"01.01.2019 06:30 - 01.01.2019 07:00","N/A","360"
"01.01.2019 07:00 - 01.01.2019 07:30","N/A","372"
"01.01.2019 07:30 - 01.01.2019 08:00","N/A","388"
"01.01.2019 08:00 - 01.01.2019 08:30","N/A","409"
"01.01.2019 08:30 - 01.01.2019 09:00","N/A","431"
"01.01.2019 09:00 - 01.01.2019 09:30","N/A","452"
"01.01.2019 09:30 - 01.01.2019 10:00","N/A","471"
"01.01.2019 10:00 - 01.01.2019 10:30","N/A","495"
"01.01.2019 10:30 - 01.01.2019 11:00","N/A","502"
"01.01.2019 11:00 - 01.01.2019 11:30","N/A","493"
"01.01.2019 11:30 - 01.01.2019 12:00","N/A","500"
"01.01.2019 12:00 - 01.01.2019 12:30","N/A","492"
"01.01.2019 12:30 - 01.01.2019 13:00","N/A","483"
"01.01.2019 13:00 - 01.01.2019 13:30","N/A","472"
"01.01.2019 13:30 - 01.01.2019 14:00","N/A","459"
"01.01.2019 14:00 - 01.01.2019 14:30","N/A","461"
"01.01.2019 14:30 - 01.01.2019 15:00","N/A","468"
"01.01.2019 15:00 - 01.01.2019 15:30","N/A","473"
"01.01.2019 15:30 - 01.01.2019 16:00","N/A","482"
"01.01.2019 16:00 - 01.01.2019 16:30","N/A","522"
"01.01.2019 16:30 - 01.01.2019 17:00","N/A","566"
"01.01.2019 17:00 - 01.01.2019 17:30","N/A","581"
"01.01.2019 17:30 - 01.01.2019 18:00","N/A","593"
"01.01.2019 18:00 - 01.01.2019 18:30","N/A","600"
"01.01.2019 18:30 - 01.01.2019 19:00","N/A","601"
"01.01.2019 19:00 - 01.01.2019 19:30","N/A","595"
"01.01.2019 19:30 - 01.01.2019 20:00","N/A","595"
"01.01.2019 20:00 - 01.01.2019 20:30","N/A","591"
"01.01.2019 20:30 - 01.01.2019 21:00","N/A","587"
"01.01.2019 21:00 - 01.01.2019 21:30","N/A","574"
"01.01.2019 21:30 - 01.01.2019 22:00","N/A","549"
"01.01.2019 22:00 - 01.01.2019 22:30","N/A","531"
"01.01.2019 22:30 - 01.01.2019 23:00","N/A","511"
"01.01.2019 23:00 - 01.01.2019 23:30","N/A","482"
"01.01.2019 23:30 - 02.01.2019 00:00","N/A","447"
"02.01.2019 00:00 - 02.01.2019 00:30","N/A","416"
"02.01.2019 00:30 - 02.01.2019 01:00","N/A","393"
"02.01.2019 01:00 - 02.01.2019 01:30","N/A","373"
"02.01.2019 01:30 - 02.01.2019 02:00","N/A","362"
"02.01.2019 02:00 - 02.01.2019 02:30","N/A","354"
"02.01.2019 02:30 - 02.01.2019 03:00","N/A","349"
"02.01.2019 03:00 - 02.01.2019 03:30","N/A","344"
"02.01.2019 03:30 - 02.01.2019 04:00","N/A","344"
"02.01.2019 04:00 - 02.01.2019 04:30","N/A","352"
"02.01.2019 04:30 - 02.01.2019 05:00","N/A","359"
"02.01.2019 05:00 - 02.01.2019 05:30","N/A","372"
"02.01.2019 05:30 - 02.01.2019 06:00","N/A","380"
"02.01.2019 06:00 - 02.01.2019 06:30","N/A","405"
"02.01.2019 06:30 - 02.01.2019 07:00","N/A","440"
"02.01.2019 07:00 - 02.01.2019 07:30","N/A","477"
"02.01.2019 07:30 - 02.01.2019 08:00","N/A","507"
"02.01.2019 08:00 - 02.01.2019 08:30","N/A","510"
"02.01.2019 08:30 - 02.01.2019 09:00","N/A","521"
"02.01.2019 09:00 - 02.01.2019 09:30","N/A","536"
"02.01.2019 09:30 - 02.01.2019 10:00","N/A","536"
"02.01.2019 10:00 - 02.01.2019 10:30","N/A","563"
"02.01.2019 10:30 - 02.01.2019 11:00","N/A","588"
"02.01.2019 11:00 - 02.01.2019 11:30","N/A","603"
"02.01.2019 11:30 - 02.01.2019 12:00","N/A","616"
"02.01.2019 12:00 - 02.01.2019 12:30","N/A","625"
"02.01.2019 12:30 - 02.01.2019 13:00","N/A","620"
"02.01.2019 13:00 - 02.01.2019 13:30","N/A","612"
"02.01.2019 13:30 - 02.01.2019 14:00","N/A","618"
"02.01.2019 14:00 - 02.01.2019 14:30","N/A","618"
"02.01.2019 14:30 - 02.01.2019 15:00","N/A","613"
"02.01.2019 15:00 - 02.01.2019 15:30","N/A","611"
"02.01.2019 15:30 - 02.01.2019 16:00","N/A","617"
"02.01.2019 16:00 - 02.01.2019 16:30","N/A","650"
"02.01.2019 16:30 - 02.01.2019 17:00","N/A","685"
"02.01.2019 17:00 - 02.01.2019 17:30","N/A","697"
"02.01.2019 17:30 - 02.01.2019 18:00","N/A","698"
"02.01.2019 18:00 - 02.01.2019 18:30","N/A","698"
"02.01.2019 18:30 - 02.01.2019 19:00","N/A","688"
"02.01.2019 19:00 - 02.01.2019 19:30","N/A","671"
"02.01.2019 19:30 - 02.01.2019 20:00","N/A","664"
"02.01.2019 20:00 - 02.01.2019 20:30","N/A","658"
