"Time (CET)","Germany (DE) > Denmark (DK) [MW]","Denmark (DK) > Germany (DE) [MW]"
"01.01.2018 00:00 - 01.01.2018 01:00","2017","0"
"01.01.2018 01:00 - 01.01.2018 02:00","1999","0"
"01.01.2018 02:00 - 01.01.2018 03:00","2159","0"
"01.01.2018 03:00 - 01.01.2018 04:00","2088","0"
"01.01.2018 04:00 - 01.01.2018 05:00","2091","0"
"01.01.2018 05:00 - 01.01.2018 06:00","2126","0"
"01.01.2018 06:00 - 01.01.2018 07:00","1982","0"
"01.01.2018 07:00 - 01.01.2018 08:00","2213","0"
"01.01.2018 08:00 - 01.01.2018 09:00","2093","0"
"01.01.2018 09:00 - 01.01.2018 10:00","2065","0"
"01.01.2018 10:00 - 01.01.2018 11:00","1977","0"
"01.01.2018 11:00 - 01.01.2018 12:00","2102","0"
"01.01.2018 12:00 - 01.01.2018 13:00","2076","0"
"01.01.2018 13:00 - 01.01.2018 14:00","1799","0"
"01.01.2018 14:00 - 01.01.2018 15:00","2077","0"
"01.01.2018 15:00 - 01.01.2018 16:00","2080","0"
"01.01.2018 16:00 - 01.01.2018 17:00","2069","0"
"01.01.2018 17:00 - 01.01.2018 18:00","1978","0"
"01.01.2018 18:00 - 01.01.2018 19:00","1703","0"
"01.01.2018 19:00 - 01.01.2018 20:00","1937","0"
"01.01.2018 20:00 - 01.01.2018 21:00","2022","0"
"01.01.2018 21:00 - 01.01.2018 22:00","1702","0"
"01.01.2018 22:00 - 01.01.2018 23:00","1882","0"
"01.01.2018 23:00 - 02.01.2018 00:00","2095","0"
"02.01.2018 00:00 - 02.01.2018 01:00","2008","0"
"02.01.2018 01:00 - 02.01.2018 02:00","2085","0"
"02.01.2018 02:00 - 02.01.2018 03:00","2071","0"
"02.01.2018 03:00 - 02.01.2018 04:00","2091","0"
"02.01.2018 04:00 - 02.01.2018 05:00","1757","0"
"02.01.2018 05:00 - 02.01.2018 06:00","1419","0"
"02.01.2018 06:00 - 02.01.2018 07:00","1284","0"
"02.01.2018 07:00 - 02.01.2018 08:00","0","289"
"02.01.2018 08:00 - 02.01.2018 09:00","0","1353"
"02.01.2018 09:00 - 02.01.2018 10:00","0","1851"
"02.01.2018 10:00 - 02.01.2018 11:00","0","1896"
"02.01.2018 11:00 - 02.01.2018 12:00","0","1848"
"02.01.2018 12:00 - 02.01.2018 13:00","0","1857"
"02.01.2018 13:00 - 02.01.2018 14:00","0","1832"
"02.01.2018 14:00 - 02.01.2018 15:00","0","1827"
"02.01.2018 15:00 - 02.01.2018 16:00","0","1829"
"02.01.2018 16:00 - 02.01.2018 17:00","0","1854"
"02.01.2018 17:00 - 02.01.2018 18:00","0","1833"
"02.01.2018 18:00 - 02.01.2018 19:00","0","1780"
"02.01.2018 19:00 - 02.01.2018 20:00","0","1388"
"02.01.2018 20:00 - 02.01.2018 21:00","0","196"
"02.01.2018 21:00 - 02.01.2018 22:00","1201","0"
