"Time (CET)","Estonia (EE) > Finland (FI) [MW]","Finland (FI) > Estonia (EE) [MW]"
"01.01.2018 00:00 - 01.01.2018 01:00","0","24"
"01.01.2018 01:00 - 01.01.2018 02:00","36","0"
"01.01.2018 02:00 - 01.01.2018 03:00","0","6"
"01.01.2018 03:00 - 01.01.2018 04:00","143","0"
"01.01.2018 04:00 - 01.01.2018 05:00","262","0"
"01.01.2018 05:00 - 01.01.2018 06:00","449","0"
"01.01.2018 06:00 - 01.01.2018 07:00","283","0"
"01.01.2018 07:00 - 01.01.2018 08:00","155","0"
"01.01.2018 08:00 - 01.01.2018 09:00","237","0"
"01.01.2018 09:00 - 01.01.2018 10:00","299","0"
"01.01.2018 10:00 - 01.01.2018 11:00","91","0"
"01.01.2018 11:00 - 01.01.2018 12:00","50","0"
"01.01.2018 12:00 - 01.01.2018 13:00","72","0"
"01.01.2018 13:00 - 01.01.2018 14:00","78","0"
"01.01.2018 14:00 - 01.01.2018 15:00","77","0"
"01.01.2018 15:00 - 01.01.2018 16:00","75","0"
"01.01.2018 16:00 - 01.01.2018 17:00","19","0"
"01.01.2018 17:00 - 01.01.2018 18:00","0","83"
"01.01.2018 18:00 - 01.01.2018 19:00","0","4"
"01.01.2018 19:00 - 01.01.2018 20:00","0","14"
"01.01.2018 20:00 - 01.01.2018 21:00","10","0"
"01.01.2018 21:00 - 01.01.2018 22:00","4","0"
"01.01.2018 22:00 - 01.01.2018 23:00","3","0"
"01.01.2018 23:00 - 02.01.2018 00:00","201","0"
"02.01.2018 00:00 - 02.01.2018 01:00","463","0"
"02.01.2018 01:00 - 02.01.2018 02:00","491","0"
"02.01.2018 02:00 - 02.01.2018 03:00","461","0"
"02.01.2018 03:00 - 02.01.2018 04:00","584","0"
"02.01.2018 04:00 - 02.01.2018 05:00","655","0"
"02.01.2018 05:00 - 02.01.2018 06:00","495","0"
"02.01.2018 06:00 - 02.01.2018 07:00","143","0"
"02.01.2018 07:00 - 02.01.2018 08:00","10","0"
"02.01.2018 08:00 - 02.01.2018 09:00","0","34"
"02.01.2018 09:00 - 02.01.2018 10:00","0","333"
"02.01.2018 10:00 - 02.01.2018 11:00","0","308"
"02.01.2018 11:00 - 02.01.2018 12:00","0","228"
"02.01.2018 12:00 - 02.01.2018 13:00","0","356"
"02.01.2018 13:00 - 02.01.2018 14:00","0","330"
"02.01.2018 14:00 - 02.01.2018 15:00","0","485"
"02.01.2018 15:00 - 02.01.2018 16:00","0","300"
"02.01.2018 16:00 - 02.01.2018 17:00","0","228"
"02.01.2018 17:00 - 02.01.2018 18:00","0","124"
"02.01.2018 18:00 - 02.01.2018 19:00","0","285"
"02.01.2018 19:00 - 02.01.2018 20:00","0","435"
"02.01.2018 20:00 - 02.01.2018 21:00","0","213"
"02.01.2018 21:00 - 02.01.2018 22:00","0","29"
"02.01.2018 22:00 - 02.01.2018 23:00","103","0"
"02.01.2018 23:00 - 03.01.2018 00:00","145","0"
"03.01.2018 00:00 - 03.01.2018 01:00","272","0"
"03.01.2018 01:00 - 03.01.2018 02:00","336","0"
"03.01.2018 02:00 - 03.01.2018 03:00","343","0"
"03.01.2018 03:00 - 03.01.2018 04:00","305","0"
"03.01.2018 04:00 - 03.01.2018 05:00","355","0"
"03.01.2018 05:00 - 03.01.2018 06:00","284","0"
"03.01.2018 06:00 - 03.01.2018 07:00","44","0"
"03.01.2018 07:00 - 03.01.2018 08:00","0","90"
"03.01.2018 08:00 - 03.01.2018 09:00","0","228"
"03.01.2018 09:00 - 03.01.2018 10:00","0","263"
"03.01.2018 10:00 - 03.01.2018 11:00","0","280"
"03.01.2018 11:00 - 03.01.2018 12:00","0","173"
"03.01.2018 12:00 - 03.01.2018 13:00","0","223"
"03.01.2018 13:00 - 03.01.2018 14:00","0","146"
"03.01.2018 14:00 - 03.01.2018 15:00","0","132"
"03.01.2018 15:00 - 03.01.2018 16:00","0","256"
"03.01.2018 16:00 - 03.01.2018 17:00","0","267"
"03.01.2018 17:00 - 03.01.2018 18:00","0","103"
"03.01.2018 18:00 - 03.01.2018 19:00","0","8"
"03.01.2018 19:00 - 03.01.2018 20:00","32","0"
"03.01.2018 20:00 - 03.01.2018 21:00","21","0"
"03.01.2018 21:00 - 03.01.2018 22:00","74","0"
"03.01.2018 22:00 - 03.01.2018 23:00","399","0"
"03.01.2018 23:00 - 04.01.2018 00:00","317","0"
"04.01.2018 00:00 - 04.01.2018 01:00","470","0"
"04.01.2018 01:00 - 04.01.2018 02:00","370","0"
"04.01.2018 02:00 - 04.01.2018 03:00","409","0"
"04.01.2018 03:00 - 04.01.2018 04:00","366","0"
"04.01.2018 04:00 - 04.01.2018 05:00","391","0"
"04.01.2018 05:00 - 04.01.2018 06:00","345","0"
"04.01.2018 06:00 - 04.01.2018 07:00","38","0"
"04.01.2018 07:00 - 04.01.2018 08:00","39","0"
"04.01.2018 08:00 - 04.01.2018 09:00","0","480"
"04.01.2018 09:00 - 04.01.2018 10:00","0","521"
"04.01.2018 10:00 - 04.01.2018 11:00","0","337"
"04.01.2018 11:00 - 04.01.2018 12:00","0","209"
"04.01.2018 12:00 - 04.01.2018 13:00","0","130"
"04.01.2018 13:00 - 04.01.2018 14:00","0","191"
"04.01.2018 14:00 - 04.01.2018 15:00","0","290"
"04.01.2018 15:00 - 04.01.2018 16:00","0","271"
"04.01.2018 16:00 - 04.01.2018 17:00","0","142"
"04.01.2018 17:00 - 04.01.2018 18:00","0","326"
"04.01.2018 18:00 - 04.01.2018 19:00","0","337"
"04.01.2018 19:00 - 04.01.2018 20:00","0","229"
"04.01.2018 20:00 - 04.01.2018 21:00","0","230"
"04.01.2018 21:00 - 04.01.2018 22:00","0","22"
"04.01.2018 22:00 - 04.01.2018 23:00","334","0"
"04.01.2018 23:00 - 05.01.2018 00:00","446","0"
"05.01.2018 00:00 - 05.01.2018 01:00","357","0"
"05.01.2018 01:00 - 05.01.2018 02:00","285","0"
"05.01.2018 02:00 - 05.01.2018 03:00","231","0"
"05.01.2018 03:00 - 05.01.2018 04:00","152","0"
"05.01.2018 04:00 - 05.01.2018 05:00","309","0"
"05.01.2018 05:00 - 05.01.2018 06:00","328","0"
"05.01.2018 06:00 - 05.01.2018 07:00","112","0"
"05.01.2018 07:00 - 05.01.2018 08:00","11","0"
"05.01.2018 08:00 - 05.01.2018 09:00","0","434"
"05.01.2018 09:00 - 05.01.2018 10:00","0","430"
"05.01.2018 10:00 - 05.01.2018 11:00","0","416"
"05.01.2018 11:00 - 05.01.2018 12:00","0","398"
"05.01.2018 12:00 - 05.01.2018 13:00","0","482"
"05.01.2018 13:00 - 05.01.2018 14:00","0","475"
"05.01.2018 14:00 - 05.01.2018 15:00","0","489"
"05.01.2018 15:00 - 05.01.2018 16:00","0","505"
"05.01.2018 16:00 - 05.01.2018 17:00","0","502"
"05.01.2018 17:00 - 05.01.2018 18:00","0","464"
"05.01.2018 18:00 - 05.01.2018 19:00","0","431"
"05.01.2018 19:00 - 05.01.2018 20:00","0","439"
"05.01.2018 20:00 - 05.01.2018 21:00","0","303"
"05.01.2018 21:00 - 05.01.2018 22:00","0","33"
"05.01.2018 22:00 - 05.01.2018 23:00","82","0"
"05.01.2018 23:00 - 06.01.2018 00:00","338","0"
"06.01.2018 00:00 - 06.01.2018 01:00","189","0"
"06.01.2018 01:00 - 06.01.2018 02:00","223","0"
"06.01.2018 02:00 - 06.01.2018 03:00","262","0"
