"Time (CET)","Day-ahead Total Load Forecast [MW] - Austria (AT)","Actual Total Load [MW] - Austria (AT)"
"21.04.2019 10:45 - 21.04.2019 11:00","6296","5862"
"21.04.2019 11:00 - 21.04.2019 11:15","6380","5882"
"21.04.2019 11:15 - 21.04.2019 11:30","6416","5900"
"21.04.2019 11:30 - 21.04.2019 11:45","6404","5880"
"21.04.2019 11:45 - 21.04.2019 12:00","6344","5809"
"21.04.2019 12:00 - 21.04.2019 12:15","6292","5754"
"21.04.2019 12:15 - 21.04.2019 12:30","6192","5638"
"21.04.2019 12:30 - 21.04.2019 12:45","6104","5544"
"21.04.2019 12:45 - 21.04.2019 13:00","6040","5475"
"21.04.2019 13:00 - 21.04.2019 13:15","5992","5423"
"21.04.2019 13:15 - 21.04.2019 13:30","5932","5369"
"21.04.2019 13:30 - 21.04.2019 13:45","5884","5320"
"21.04.2019 13:45 - 21.04.2019 14:00","5828","5270"
"21.04.2019 14:00 - 21.04.2019 14:15","5800","5233"
"21.04.2019 14:15 - 21.04.2019 14:30","5752","5206"
"21.04.2019 14:30 - 21.04.2019 14:45","5712","5168"
"21.04.2019 14:45 - 21.04.2019 15:00","5684","5134"
"21.04.2019 15:00 - 21.04.2019 15:15","5680","5132"
"21.04.2019 15:15 - 21.04.2019 15:30","5676","5135"
"21.04.2019 15:30 - 21.04.2019 15:45","5672","5133"
"21.04.2019 15:45 - 21.04.2019 16:00","5672","5150"
"21.04.2019 16:00 - 21.04.2019 16:15","5692","5173"
"21.04.2019 16:15 - 21.04.2019 16:30","5704","5192"
"21.04.2019 16:30 - 21.04.2019 16:45","5748","5231"
"21.04.2019 16:45 - 21.04.2019 17:00","5808","5298"
"21.04.2019 17:00 - 21.04.2019 17:15","5884","5364"
"21.04.2019 17:15 - 21.04.2019 17:30","5956","5452"
"21.04.2019 17:30 - 21.04.2019 17:45","6028","5529"
"21.04.2019 17:45 - 21.04.2019 18:00","6120","5628"
"21.04.2019 18:00 - 21.04.2019 18:15","6200","5731"
"21.04.2019 18:15 - 21.04.2019 18:30","6232","5810"
"21.04.2019 18:30 - 21.04.2019 18:45","6288","5868"
"21.04.2019 18:45 - 21.04.2019 19:00","6340","5918"
"21.04.2019 19:00 - 21.04.2019 19:15","6312","5893"
"21.04.2019 19:15 - 21.04.2019 19:30","6360","5928"
"21.04.2019 19:30 - 21.04.2019 19:45","6404","5975"
"21.04.2019 19:45 - 21.04.2019 20:00","6452","6018"
"21.04.2019 20:00 - 21.04.2019 20:15","6500","6076"
"21.04.2019 20:15 - 21.04.2019 20:30","6476","6078"
"21.04.2019 20:30 - 21.04.2019 20:45","6436","6061"
"21.04.2019 20:45 - 21.04.2019 21:00","6356","6002"
"21.04.2019 21:00 - 21.04.2019 21:15","6256","5922"
"21.04.2019 21:15 - 21.04.2019 21:30","6172","5848"
"21.04.2019 21:30 - 21.04.2019 21:45","6096","5779"
"21.04.2019 21:45 - 21.04.2019 22:00","6064","5753"
"21.04.2019 22:00 - 21.04.2019 22:15","6244","5935"
"21.04.2019 22:15 - 21.04.2019 22:30","6212","5896"
"21.04.2019 22:30 - 21.04.2019 22:45","6092","5788"
"21.04.2019 22:45 - 21.04.2019 23:00","6000","5709"
"21.04.2019 23:00 - 21.04.2019 23:15","5936","5656"
"21.04.2019 23:15 - 21.04.2019 23:30","5808","5537"
"21.04.2019 23:30 - 21.04.2019 23:45","5700","5429"
"21.04.2019 23:45 - 22.04.2019 00:00","5620","5343"
"22.04.2019 00:00 - 22.04.2019 00:15","5492","5152"
"22.04.2019 00:15 - 22.04.2019 00:30","5388","5046"
"22.04.2019 00:30 - 22.04.2019 00:45","5300","4975"
"22.04.2019 00:45 - 22.04.2019 01:00","5216","4900"
"22.04.2019 01:00 - 22.04.2019 01:15","5196","4873"
"22.04.2019 01:15 - 22.04.2019 01:30","5108","4788"
"22.04.2019 01:30 - 22.04.2019 01:45","5036","4723"
"22.04.2019 01:45 - 22.04.2019 02:00","4976","4667"
"22.04.2019 02:00 - 22.04.2019 02:15","5100","4750"
"22.04.2019 02:15 - 22.04.2019 02:30","5048","4702"
"22.04.2019 02:30 - 22.04.2019 02:45","4984","4637"
"22.04.2019 02:45 - 22.04.2019 03:00","4928","4596"
"22.04.2019 03:00 - 22.04.2019 03:15","4888","4577"
"22.04.2019 03:15 - 22.04.2019 03:30","4852","4544"
"22.04.2019 03:30 - 22.04.2019 03:45","4828","4527"
"22.04.2019 03:45 - 22.04.2019 04:00","4812","4524"
"22.04.2019 04:00 - 22.04.2019 04:15","4824","4547"
"22.04.2019 04:15 - 22.04.2019 04:30","4824","4558"
"22.04.2019 04:30 - 22.04.2019 04:45","4840","4582"
"22.04.2019 04:45 - 22.04.2019 05:00","4868","4616"
"22.04.2019 05:00 - 22.04.2019 05:15","4936","4682"
"22.04.2019 05:15 - 22.04.2019 05:30","4976","4728"
"22.04.2019 05:30 - 22.04.2019 05:45","5016","4768"
"22.04.2019 05:45 - 22.04.2019 06:00","5040","4780"
"22.04.2019 06:00 - 22.04.2019 06:15","5076","4847"
"22.04.2019 06:15 - 22.04.2019 06:30","5128","4904"
"22.04.2019 06:30 - 22.04.2019 06:45","5192","4960"
"22.04.2019 06:45 - 22.04.2019 07:00","5264","5024"
"22.04.2019 07:00 - 22.04.2019 07:15","5428","5215"
"22.04.2019 07:15 - 22.04.2019 07:30","5500","5298"
"22.04.2019 07:30 - 22.04.2019 07:45","5588","5380"
"22.04.2019 07:45 - 22.04.2019 08:00","5668","5456"
"22.04.2019 08:00 - 22.04.2019 08:15","5772","5541"
"22.04.2019 08:15 - 22.04.2019 08:30","5848","5598"
"22.04.2019 08:30 - 22.04.2019 08:45","5924","5669"
"22.04.2019 08:45 - 22.04.2019 09:00","6004","5721"
"22.04.2019 09:00 - 22.04.2019 09:15","6064","5770"
"22.04.2019 09:15 - 22.04.2019 09:30","6116","5802"
"22.04.2019 09:30 - 22.04.2019 09:45","6160","5833"
"22.04.2019 09:45 - 22.04.2019 10:00","6192","5864"
"22.04.2019 10:00 - 22.04.2019 10:15","6220","5896"
"22.04.2019 10:15 - 22.04.2019 10:30","6244","5920"
"22.04.2019 10:30 - 22.04.2019 10:45","6264","5944"
"22.04.2019 10:45 - 22.04.2019 11:00","6296","5974"
"22.04.2019 11:00 - 22.04.2019 11:15","6380","5997"
"22.04.2019 11:15 - 22.04.2019 11:30","6416","6024"
"22.04.2019 11:30 - 22.04.2019 11:45","6404","6020"
"22.04.2019 11:45 - 22.04.2019 12:00","6344","5958"
"22.04.2019 12:00 - 22.04.2019 12:15","6292","5896"
"22.04.2019 12:15 - 22.04.2019 12:30","6192","5791"
"22.04.2019 12:30 - 22.04.2019 12:45","6104","5704"
"22.04.2019 12:45 - 22.04.2019 13:00","6040","5634"
"22.04.2019 13:00 - 22.04.2019 13:15","5992","5584"
"22.04.2019 13:15 - 22.04.2019 13:30","5932","5522"
"22.04.2019 13:30 - 22.04.2019 13:45","5884","5479"
"22.04.2019 13:45 - 22.04.2019 14:00","5828","5433"
"22.04.2019 14:00 - 22.04.2019 14:15","5800","5402"
"22.04.2019 14:15 - 22.04.2019 14:30","5752","5366"
"22.04.2019 14:30 - 22.04.2019 14:45","5712","5330"
"22.04.2019 14:45 - 22.04.2019 15:00","5684","5298"
"22.04.2019 15:00 - 22.04.2019 15:15","5680","5309"
"22.04.2019 15:15 - 22.04.2019 15:30","5676","5303"
"22.04.2019 15:30 - 22.04.2019 15:45","5672","5312"
"22.04.2019 15:45 - 22.04.2019 16:00","5672","5330"
"22.04.2019 16:00 - 22.04.2019 16:15","5692","5345"
"22.04.2019 16:15 - 22.04.2019 16:30","5704","5349"
"22.04.2019 16:30 - 22.04.2019 16:45","5748","5395"
"22.04.2019 16:45 - 22.04.2019 17:00","5808","5451"
"22.04.2019 17:00 - 22.04.2019 17:15","5884","5534"
"22.04.2019 17:15 - 22.04.2019 17:30","5956","5596"
"22.04.2019 17:30 - 22.04.2019 17:45","6028","5677"
"22.04.2019 17:45 - 22.04.2019 18:00","6120","5761"
"22.04.2019 18:00 - 22.04.2019 18:15","6200","5829"
"22.04.2019 18:15 - 22.04.2019 18:30","6232","5896"
"22.04.2019 18:30 - 22.04.2019 18:45","6288","5950"
"22.04.2019 18:45 - 22.04.2019 19:00","6340","6005"
"22.04.2019 19:00 - 22.04.2019 19:15","6312","5966"
"22.04.2019 19:15 - 22.04.2019 19:30","6360","6016"
"22.04.2019 19:30 - 22.04.2019 19:45","6404","6079"
"22.04.2019 19:45 - 22.04.2019 20:00","6452","6123"
"22.04.2019 20:00 - 22.04.2019 20:15","6500","6150"
"22.04.2019 20:15 - 22.04.2019 20:30","6476","6139"
"22.04.2019 20:30 - 22.04.2019 20:45","6436","6127"
"22.04.2019 20:45 - 22.04.2019 21:00","6356","6072"
"22.04.2019 21:00 - 22.04.2019 21:15","6256","6001"
"22.04.2019 21:15 - 22.04.2019 21:30","6172","5922"
"22.04.2019 21:30 - 22.04.2019 21:45","6096","5838"
"22.04.2019 21:45 - 22.04.2019 22:00","6064","5824"
"22.04.2019 22:00 - 22.04.2019 22:15","6244","6029"
"22.04.2019 22:15 - 22.04.2019 22:30","6212","5997"
"22.04.2019 22:30 - 22.04.2019 22:45","6092","5881"
"22.04.2019 22:45 - 22.04.2019 23:00","6000","5792"
"22.04.2019 23:00 - 22.04.2019 23:15","5936","5736"
"22.04.2019 23:15 - 22.04.2019 23:30","5808","5610"
"22.04.2019 23:30 - 22.04.2019 23:45","5700","5497"
"22.04.2019 23:45 - 23.04.2019 00:00","5620","5456"
"23.04.2019 00:00 - 23.04.2019 00:15","5972","5816"
"23.04.2019 00:15 - 23.04.2019 00:30","5864","5704"
"23.04.2019 00:30 - 23.04.2019 00:45","5768","5622"
"23.04.2019 00:45 - 23.04.2019 01:00","5688","5538"
"23.04.2019 01:00 - 23.04.2019 01:15","5684","5522"
"23.04.2019 01:15 - 23.04.2019 01:30","5616","5458"
"23.04.2019 01:30 - 23.04.2019 01:45","5556","5396"
"23.04.2019 01:45 - 23.04.2019 02:00","5500","5346"
"23.04.2019 02:00 - 23.04.2019 02:15","5564","5400"
"23.04.2019 02:15 - 23.04.2019 02:30","5520","5348"
"23.04.2019 02:30 - 23.04.2019 02:45","5476","5305"
"23.04.2019 02:45 - 23.04.2019 03:00","5440","5264"
"23.04.2019 03:00 - 23.04.2019 03:15","5472","5256"
"23.04.2019 03:15 - 23.04.2019 03:30","5456","5228"
"23.04.2019 03:30 - 23.04.2019 03:45","5448","5227"
"23.04.2019 03:45 - 23.04.2019 04:00","5464","5246"
"23.04.2019 04:00 - 23.04.2019 04:15","5520","5310"
"23.04.2019 04:15 - 23.04.2019 04:30","5536","5344"
"23.04.2019 04:30 - 23.04.2019 04:45","5616","5430"
"23.04.2019 04:45 - 23.04.2019 05:00","5724","5550"
"23.04.2019 05:00 - 23.04.2019 05:15","5940","5757"
"23.04.2019 05:15 - 23.04.2019 05:30","6112","5935"
"23.04.2019 05:30 - 23.04.2019 05:45","6324","6149"
"23.04.2019 05:45 - 23.04.2019 06:00","6560","6403"
"23.04.2019 06:00 - 23.04.2019 06:15","6932","6765"
"23.04.2019 06:15 - 23.04.2019 06:30","7204","7025"
"23.04.2019 06:30 - 23.04.2019 06:45","7404","7228"
"23.04.2019 06:45 - 23.04.2019 07:00","7592","7406"
"23.04.2019 07:00 - 23.04.2019 07:15","7872","7679"
"23.04.2019 07:15 - 23.04.2019 07:30","8000","7824"
"23.04.2019 07:30 - 23.04.2019 07:45","8100","7937"
"23.04.2019 07:45 - 23.04.2019 08:00","8176","8014"
"23.04.2019 08:00 - 23.04.2019 08:15","8244","8115"
"23.04.2019 08:15 - 23.04.2019 08:30","8276","8157"
"23.04.2019 08:30 - 23.04.2019 08:45","8292","8173"
"23.04.2019 08:45 - 23.04.2019 09:00","8292","8163"
"23.04.2019 09:00 - 23.04.2019 09:15","8224","8088"
"23.04.2019 09:15 - 23.04.2019 09:30","8228","8095"
"23.04.2019 09:30 - 23.04.2019 09:45","8244","8106"
"23.04.2019 09:45 - 23.04.2019 10:00","8236","8100"
"23.04.2019 10:00 - 23.04.2019 10:15","8216","8073"
"23.04.2019 10:15 - 23.04.2019 10:30","8208","8078"
"23.04.2019 10:30 - 23.04.2019 10:45","8208","8088"
"23.04.2019 10:45 - 23.04.2019 11:00","8216","8106"
"23.04.2019 11:00 - 23.04.2019 11:15","8216","8112"
"23.04.2019 11:15 - 23.04.2019 11:30","8224","8137"
"23.04.2019 11:30 - 23.04.2019 11:45","8204","8146"
"23.04.2019 11:45 - 23.04.2019 12:00","8152","8100"
"23.04.2019 12:00 - 23.04.2019 12:15","8060","8004"
"23.04.2019 12:15 - 23.04.2019 12:30","7952","7896"
"23.04.2019 12:30 - 23.04.2019 12:45","7900","7845"
"23.04.2019 12:45 - 23.04.2019 13:00","7884","7842"
"23.04.2019 13:00 - 23.04.2019 13:15","7908","7884"
"23.04.2019 13:15 - 23.04.2019 13:30","7880","7870"
"23.04.2019 13:30 - 23.04.2019 13:45","7844","7836"
"23.04.2019 13:45 - 23.04.2019 14:00","7800","7788"
"23.04.2019 14:00 - 23.04.2019 14:15","7776","7752"
"23.04.2019 14:15 - 23.04.2019 14:30","7764","7735"
"23.04.2019 14:30 - 23.04.2019 14:45","7740","7717"
"23.04.2019 14:45 - 23.04.2019 15:00","7712","7681"
"23.04.2019 15:00 - 23.04.2019 15:15","7708","7673"
"23.04.2019 15:15 - 23.04.2019 15:30","7688","7646"
"23.04.2019 15:30 - 23.04.2019 15:45","7680","7619"
"23.04.2019 15:45 - 23.04.2019 16:00","7672","7586"
"23.04.2019 16:00 - 23.04.2019 16:15","7656","7585"
"23.04.2019 16:15 - 23.04.2019 16:30","7648","7577"
"23.04.2019 16:30 - 23.04.2019 16:45","7636","7552"
"23.04.2019 16:45 - 23.04.2019 17:00","7648","7550"
"23.04.2019 17:00 - 23.04.2019 17:15","7648","7558"
"23.04.2019 17:15 - 23.04.2019 17:30","7696","7599"
"23.04.2019 17:30 - 23.04.2019 17:45","7756","7644"
"23.04.2019 17:45 - 23.04.2019 18:00","7800","7682"
"23.04.2019 18:00 - 23.04.2019 18:15","7808","7676"
"23.04.2019 18:15 - 23.04.2019 18:30","7836","7706"
"23.04.2019 18:30 - 23.04.2019 18:45","7872","7746"
"23.04.2019 18:45 - 23.04.2019 19:00","7888","7764"
"23.04.2019 19:00 - 23.04.2019 19:15","7792","7692"
"23.04.2019 19:15 - 23.04.2019 19:30","7776","7684"
"23.04.2019 19:30 - 23.04.2019 19:45","7784","7698"
"23.04.2019 19:45 - 23.04.2019 20:00","7784","7709"
"23.04.2019 20:00 - 23.04.2019 20:15","7760","7666"
"23.04.2019 20:15 - 23.04.2019 20:30","7684","7597"
"23.04.2019 20:30 - 23.04.2019 20:45","7592","7507"
"23.04.2019 20:45 - 23.04.2019 21:00","7464","7386"
"23.04.2019 21:00 - 23.04.2019 21:15","7304","7232"
"23.04.2019 21:15 - 23.04.2019 21:30","7156","7102"
"23.04.2019 21:30 - 23.04.2019 21:45","7004","6953"
"23.04.2019 21:45 - 23.04.2019 22:00","6868","6826"
"23.04.2019 22:00 - 23.04.2019 22:15","6936","6888"
"23.04.2019 22:15 - 23.04.2019 22:30","6852","6811"
"23.04.2019 22:30 - 23.04.2019 22:45","6700","6653"
"23.04.2019 22:45 - 23.04.2019 23:00","6556","6518"
"23.04.2019 23:00 - 23.04.2019 23:15","6468","6404"
"23.04.2019 23:15 - 23.04.2019 23:30","6320","6240"
"23.04.2019 23:30 - 23.04.2019 23:45","6188","6098"
"23.04.2019 23:45 - 24.04.2019 00:00","6100","6002"
"24.04.2019 00:00 - 24.04.2019 00:15","6056","5830"
"24.04.2019 00:15 - 24.04.2019 00:30","5948","5742"
"24.04.2019 00:30 - 24.04.2019 00:45","5856","5650"
"24.04.2019 00:45 - 24.04.2019 01:00","5772","5560"
"24.04.2019 01:00 - 24.04.2019 01:15","5764","5550"
"24.04.2019 01:15 - 24.04.2019 01:30","5696","5474"
"24.04.2019 01:30 - 24.04.2019 01:45","5628","5410"
"24.04.2019 01:45 - 24.04.2019 02:00","5576","5351"
"24.04.2019 02:00 - 24.04.2019 02:15","5632","5397"
"24.04.2019 02:15 - 24.04.2019 02:30","5596","5353"
"24.04.2019 02:30 - 24.04.2019 02:45","5548","5309"
"24.04.2019 02:45 - 24.04.2019 03:00","5516","5268"
"24.04.2019 03:00 - 24.04.2019 03:15","5556","5250"
"24.04.2019 03:15 - 24.04.2019 03:30","5536","5225"
"24.04.2019 03:30 - 24.04.2019 03:45","5528","5221"
"24.04.2019 03:45 - 24.04.2019 04:00","5548","5231"
"24.04.2019 04:00 - 24.04.2019 04:15","5596","5288"
"24.04.2019 04:15 - 24.04.2019 04:30","5596","5334"
"24.04.2019 04:30 - 24.04.2019 04:45","5676","5406"
"24.04.2019 04:45 - 24.04.2019 05:00","5780","5509"
"24.04.2019 05:00 - 24.04.2019 05:15","5988","5698"
"24.04.2019 05:15 - 24.04.2019 05:30","6156","5856"
"24.04.2019 05:30 - 24.04.2019 05:45","6360","6061"
"24.04.2019 05:45 - 24.04.2019 06:00","6588","6301"
"24.04.2019 06:00 - 24.04.2019 06:15","6952","6633"
"24.04.2019 06:15 - 24.04.2019 06:30","7216","6888"
"24.04.2019 06:30 - 24.04.2019 06:45","7412","7090"
"24.04.2019 06:45 - 24.04.2019 07:00","7592","7271"
"24.04.2019 07:00 - 24.04.2019 07:15","7868","7548"
"24.04.2019 07:15 - 24.04.2019 07:30","7992","7666"
"24.04.2019 07:30 - 24.04.2019 07:45","8084","7757"
"24.04.2019 07:45 - 24.04.2019 08:00","8156","7815"
"24.04.2019 08:00 - 24.04.2019 08:15","8220","7883"
"24.04.2019 08:15 - 24.04.2019 08:30","8248","7890"
"24.04.2019 08:30 - 24.04.2019 08:45","8260","7896"
"24.04.2019 08:45 - 24.04.2019 09:00","8256","7886"
"24.04.2019 09:00 - 24.04.2019 09:15","8180","7786"
"24.04.2019 09:15 - 24.04.2019 09:30","8180","7776"
"24.04.2019 09:30 - 24.04.2019 09:45","8192","7799"
"24.04.2019 09:45 - 24.04.2019 10:00","8180","7789"
"24.04.2019 10:00 - 24.04.2019 10:15","8156","7745"
"24.04.2019 10:15 - 24.04.2019 10:30","8152","7762"
"24.04.2019 10:30 - 24.04.2019 10:45","8152","7759"
"24.04.2019 10:45 - 24.04.2019 11:00","8160","7781"
"24.04.2019 11:00 - 24.04.2019 11:15","8164","7771"
"24.04.2019 11:15 - 24.04.2019 11:30","8168","7775"
"24.04.2019 11:30 - 24.04.2019 11:45","8152","7765"
"24.04.2019 11:45 - 24.04.2019 12:00","8096","7732"
"24.04.2019 12:00 - 24.04.2019 12:15","8008","7667"
"24.04.2019 12:15 - 24.04.2019 12:30","7900","7562"
"24.04.2019 12:30 - 24.04.2019 12:45","7848","7522"
"24.04.2019 12:45 - 24.04.2019 13:00","7832","7515"
"24.04.2019 13:00 - 24.04.2019 13:15","7856","7533"
"24.04.2019 13:15 - 24.04.2019 13:30","7828","7531"
"24.04.2019 13:30 - 24.04.2019 13:45","7792","7500"
"24.04.2019 13:45 - 24.04.2019 14:00","7752","7455"
"24.04.2019 14:00 - 24.04.2019 14:15","7724","7442"
"24.04.2019 14:15 - 24.04.2019 14:30","7716","7444"
"24.04.2019 14:30 - 24.04.2019 14:45","7696","7422"
"24.04.2019 14:45 - 24.04.2019 15:00","7668","7399"
"24.04.2019 15:00 - 24.04.2019 15:15","7668","7387"
"24.04.2019 15:15 - 24.04.2019 15:30","7648","7393"
"24.04.2019 15:30 - 24.04.2019 15:45","7640","7365"
"24.04.2019 15:45 - 24.04.2019 16:00","7632","7354"
"24.04.2019 16:00 - 24.04.2019 16:15","7620","7334"
"24.04.2019 16:15 - 24.04.2019 16:30","7612","7326"
"24.04.2019 16:30 - 24.04.2019 16:45","7600","7321"
"24.04.2019 16:45 - 24.04.2019 17:00","7608","7325"
"24.04.2019 17:00 - 24.04.2019 17:15","7612","7330"
"24.04.2019 17:15 - 24.04.2019 17:30","7660","7369"
"24.04.2019 17:30 - 24.04.2019 17:45","7716","7418"
"24.04.2019 17:45 - 24.04.2019 18:00","7760","7454"
"24.04.2019 18:00 - 24.04.2019 18:15","7768","7435"
"24.04.2019 18:15 - 24.04.2019 18:30","7796","7464"
"24.04.2019 18:30 - 24.04.2019 18:45","7832","7491"
"24.04.2019 18:45 - 24.04.2019 19:00","7848","7496"
"24.04.2019 19:00 - 24.04.2019 19:15","7748","7393"
"24.04.2019 19:15 - 24.04.2019 19:30","7732","7360"
"24.04.2019 19:30 - 24.04.2019 19:45","7740","7364"
"24.04.2019 19:45 - 24.04.2019 20:00","7740","7382"
"24.04.2019 20:00 - 24.04.2019 20:15","7716","7384"
"24.04.2019 20:15 - 24.04.2019 20:30","7648","7342"
"24.04.2019 20:30 - 24.04.2019 20:45","7560","7270"
"24.04.2019 20:45 - 24.04.2019 21:00","7436","7175"
"24.04.2019 21:00 - 24.04.2019 21:15","7272","7026"
"24.04.2019 21:15 - 24.04.2019 21:30","7120","6887"
"24.04.2019 21:30 - 24.04.2019 21:45","6972","6746"
"24.04.2019 21:45 - 24.04.2019 22:00","6836","6618"
"24.04.2019 22:00 - 24.04.2019 22:15","6908","6685"
"24.04.2019 22:15 - 24.04.2019 22:30","6824","6610"
"24.04.2019 22:30 - 24.04.2019 22:45","6672","6463"
"24.04.2019 22:45 - 24.04.2019 23:00","6532","6324"
"24.04.2019 23:00 - 24.04.2019 23:15","6448","6220"
"24.04.2019 23:15 - 24.04.2019 23:30","6296","6066"
"24.04.2019 23:30 - 24.04.2019 23:45","6164","5935"
"24.04.2019 23:45 - 25.04.2019 00:00","6072","5834"
"25.04.2019 00:00 - 25.04.2019 00:15","5952","5671"
"25.04.2019 00:15 - 25.04.2019 00:30","5848","5572"
"25.04.2019 00:30 - 25.04.2019 00:45","5756","5471"
"25.04.2019 00:45 - 25.04.2019 01:00","5668","5408"
"25.04.2019 01:00 - 25.04.2019 01:15","5664","5385"
"25.04.2019 01:15 - 25.04.2019 01:30","5596","5322"
"25.04.2019 01:30 - 25.04.2019 01:45","5532","5262"
"25.04.2019 01:45 - 25.04.2019 02:00","5480","5199"
"25.04.2019 02:00 - 25.04.2019 02:15","5536","5248"
"25.04.2019 02:15 - 25.04.2019 02:30","5496","5200"
"25.04.2019 02:30 - 25.04.2019 02:45","5452","5149"
"25.04.2019 02:45 - 25.04.2019 03:00","5416","5114"
"25.04.2019 03:00 - 25.04.2019 03:15","5460","5094"
"25.04.2019 03:15 - 25.04.2019 03:30","5436","5069"
"25.04.2019 03:30 - 25.04.2019 03:45","5428","5053"
"25.04.2019 03:45 - 25.04.2019 04:00","5448","5056"
"25.04.2019 04:00 - 25.04.2019 04:15","5500","5106"
"25.04.2019 04:15 - 25.04.2019 04:30","5500","5137"
"25.04.2019 04:30 - 25.04.2019 04:45","5584","5216"
"25.04.2019 04:45 - 25.04.2019 05:00","5692","5327"
"25.04.2019 05:00 - 25.04.2019 05:15","5896","5565"
"25.04.2019 05:15 - 25.04.2019 05:30","6068","5736"
"25.04.2019 05:30 - 25.04.2019 05:45","6276","5958"
"25.04.2019 05:45 - 25.04.2019 06:00","6512","6184"
"25.04.2019 06:00 - 25.04.2019 06:15","6872","6551"
"25.04.2019 06:15 - 25.04.2019 06:30","7132","6808"
"25.04.2019 06:30 - 25.04.2019 06:45","7324","7016"
"25.04.2019 06:45 - 25.04.2019 07:00","7504","7193"
"25.04.2019 07:00 - 25.04.2019 07:15","7780","7484"
"25.04.2019 07:15 - 25.04.2019 07:30","7908","7612"
"25.04.2019 07:30 - 25.04.2019 07:45","8004","7699"
"25.04.2019 07:45 - 25.04.2019 08:00","8076","7758"
"25.04.2019 08:00 - 25.04.2019 08:15","8152","7806"
"25.04.2019 08:15 - 25.04.2019 08:30","8184","7816"
"25.04.2019 08:30 - 25.04.2019 08:45","8196","7818"
"25.04.2019 08:45 - 25.04.2019 09:00","8196","7797"
"25.04.2019 09:00 - 25.04.2019 09:15","8120","7712"
"25.04.2019 09:15 - 25.04.2019 09:30","8124","7714"
"25.04.2019 09:30 - 25.04.2019 09:45","8132","7718"
"25.04.2019 09:45 - 25.04.2019 10:00","8124","7711"
"25.04.2019 10:00 - 25.04.2019 10:15","8100","7698"
"25.04.2019 10:15 - 25.04.2019 10:30","8092","7693"
"25.04.2019 10:30 - 25.04.2019 10:45","8092","7696"
"25.04.2019 10:45 - 25.04.2019 11:00","8108","7718"
"25.04.2019 11:00 - 25.04.2019 11:15","8112","7711"
"25.04.2019 11:15 - 25.04.2019 11:30","8120","7712"
"25.04.2019 11:30 - 25.04.2019 11:45","8112","7715"
"25.04.2019 11:45 - 25.04.2019 12:00","8056","7684"
"25.04.2019 12:00 - 25.04.2019 12:15","7960","7564"
"25.04.2019 12:15 - 25.04.2019 12:30","7852","7471"
"25.04.2019 12:30 - 25.04.2019 12:45","7800","7437"
"25.04.2019 12:45 - 25.04.2019 13:00","7792","7441"
"25.04.2019 13:00 - 25.04.2019 13:15","7820","7469"
"25.04.2019 13:15 - 25.04.2019 13:30","7792","7468"
"25.04.2019 13:30 - 25.04.2019 13:45","7756","7454"
"25.04.2019 13:45 - 25.04.2019 14:00","7712","7407"
"25.04.2019 14:00 - 25.04.2019 14:15","7688","7379"
"25.04.2019 14:15 - 25.04.2019 14:30","7680","7384"
"25.04.2019 14:30 - 25.04.2019 14:45","7656","7364"
"25.04.2019 14:45 - 25.04.2019 15:00","7628","7336"
"25.04.2019 15:00 - 25.04.2019 15:15","7624","7350"
"25.04.2019 15:15 - 25.04.2019 15:30","7604","7344"
"25.04.2019 15:30 - 25.04.2019 15:45","7592","7334"
"25.04.2019 15:45 - 25.04.2019 16:00","7584","7326"
"25.04.2019 16:00 - 25.04.2019 16:15","7568","7327"
"25.04.2019 16:15 - 25.04.2019 16:30","7560","7339"
"25.04.2019 16:30 - 25.04.2019 16:45","7548","7343"
"25.04.2019 16:45 - 25.04.2019 17:00","7560","7353"
"25.04.2019 17:00 - 25.04.2019 17:15","7560","7364"
"25.04.2019 17:15 - 25.04.2019 17:30","7608","7412"
"25.04.2019 17:30 - 25.04.2019 17:45","7660","7454"
"25.04.2019 17:45 - 25.04.2019 18:00","7704","7481"
"25.04.2019 18:00 - 25.04.2019 18:15","7704","7476"
"25.04.2019 18:15 - 25.04.2019 18:30","7736","7498"
"25.04.2019 18:30 - 25.04.2019 18:45","7768","7517"
"25.04.2019 18:45 - 25.04.2019 19:00","7784","7515"
"25.04.2019 19:00 - 25.04.2019 19:15","7692","7404"
"25.04.2019 19:15 - 25.04.2019 19:30","7680","7385"
"25.04.2019 19:30 - 25.04.2019 19:45","7692","7394"
"25.04.2019 19:45 - 25.04.2019 20:00","7696","7384"
"25.04.2019 20:00 - 25.04.2019 20:15","7668","7361"
"25.04.2019 20:15 - 25.04.2019 20:30","7604","7303"
"25.04.2019 20:30 - 25.04.2019 20:45","7516","7280"
"25.04.2019 20:45 - 25.04.2019 21:00","7396","7172"
"25.04.2019 21:00 - 25.04.2019 21:15","7236","7047"
"25.04.2019 21:15 - 25.04.2019 21:30","7092","6912"
"25.04.2019 21:30 - 25.04.2019 21:45","6940","6756"
"25.04.2019 21:45 - 25.04.2019 22:00","6808","6619"
"25.04.2019 22:00 - 25.04.2019 22:15","6872","6646"
"25.04.2019 22:15 - 25.04.2019 22:30","6788","6561"
"25.04.2019 22:30 - 25.04.2019 22:45","6640","6409"
"25.04.2019 22:45 - 25.04.2019 23:00","6504","6260"
"25.04.2019 23:00 - 25.04.2019 23:15","6416","6163"
"25.04.2019 23:15 - 25.04.2019 23:30","6264","6004"
