"Time (CET)","Day-ahead Total Load Forecast [MW] - Luxembourg (LU)","Actual Total Load [MW] - Luxembourg (LU)"
"01.01.2019 00:00 - 01.01.2019 00:15","433","529"
"01.01.2019 00:15 - 01.01.2019 00:30","416","499"
"01.01.2019 00:30 - 01.01.2019 00:45","408","500"
"01.01.2019 00:45 - 01.01.2019 01:00","402","527"
"01.01.2019 01:00 - 01.01.2019 01:15","396","521"
"01.01.2019 01:15 - 01.01.2019 01:30","387","448"
"01.01.2019 01:30 - 01.01.2019 01:45","385","391"
"01.01.2019 01:45 - 01.01.2019 02:00","380","0"
"01.01.2019 02:00 - 01.01.2019 02:15","376","393"
"01.01.2019 02:15 - 01.01.2019 02:30","365","371"
"01.01.2019 02:30 - 01.01.2019 02:45","363","0"
"01.01.2019 02:45 - 01.01.2019 03:00","358","0"
"01.01.2019 03:00 - 01.01.2019 03:15","356","427"
"01.01.2019 03:15 - 01.01.2019 03:30","352","396"
"01.01.2019 03:30 - 01.01.2019 03:45","351","381"
"01.01.2019 03:45 - 01.01.2019 04:00","350","359"
"01.01.2019 04:00 - 01.01.2019 04:15","348","361"
"01.01.2019 04:15 - 01.01.2019 04:30","345","368"
"01.01.2019 04:30 - 01.01.2019 04:45","345","407"
"01.01.2019 04:45 - 01.01.2019 05:00","343","405"
"01.01.2019 05:00 - 01.01.2019 05:15","342","388"
"01.01.2019 05:15 - 01.01.2019 05:30","358","378"
"01.01.2019 05:30 - 01.01.2019 05:45","361","398"
"01.01.2019 05:45 - 01.01.2019 06:00","360","403"
"01.01.2019 06:00 - 01.01.2019 06:15","363","392"
"01.01.2019 06:15 - 01.01.2019 06:30","349","414"
"01.01.2019 06:30 - 01.01.2019 06:45","331","422"
"01.01.2019 06:45 - 01.01.2019 07:00","330","0"
"01.01.2019 07:00 - 01.01.2019 07:15","336","403"
"01.01.2019 07:15 - 01.01.2019 07:30","341","373"
"01.01.2019 07:30 - 01.01.2019 07:45","348","347"
"01.01.2019 07:45 - 01.01.2019 08:00","352","346"
"01.01.2019 08:00 - 01.01.2019 08:15","357","348"
"01.01.2019 08:15 - 01.01.2019 08:30","364","346"
"01.01.2019 08:30 - 01.01.2019 08:45","360","343"
"01.01.2019 08:45 - 01.01.2019 09:00","353","357"
"01.01.2019 09:00 - 01.01.2019 09:15","359","347"
"01.01.2019 09:15 - 01.01.2019 09:30","347","389"
"01.01.2019 09:30 - 01.01.2019 09:45","350","395"
"01.01.2019 09:45 - 01.01.2019 10:00","352","389"
"01.01.2019 10:00 - 01.01.2019 10:15","354","384"
"01.01.2019 10:15 - 01.01.2019 10:30","363","378"
"01.01.2019 10:30 - 01.01.2019 10:45","366","384"
"01.01.2019 10:45 - 01.01.2019 11:00","362","396"
"01.01.2019 11:00 - 01.01.2019 11:15","362","367"
"01.01.2019 11:15 - 01.01.2019 11:30","372","377"
"01.01.2019 11:30 - 01.01.2019 11:45","377","392"
"01.01.2019 11:45 - 01.01.2019 12:00","379","393"
"01.01.2019 12:00 - 01.01.2019 12:15","382","377"
"01.01.2019 12:15 - 01.01.2019 12:30","381","391"
"01.01.2019 12:30 - 01.01.2019 12:45","380","409"
"01.01.2019 12:45 - 01.01.2019 13:00","373","406"
"01.01.2019 13:00 - 01.01.2019 13:15","371","402"
"01.01.2019 13:15 - 01.01.2019 13:30","372","392"
"01.01.2019 13:30 - 01.01.2019 13:45","367","402"
"01.01.2019 13:45 - 01.01.2019 14:00","358","405"
"01.01.2019 14:00 - 01.01.2019 14:15","356","420"
"01.01.2019 14:15 - 01.01.2019 14:30","350","457"
"01.01.2019 14:30 - 01.01.2019 14:45","351","465"
"01.01.2019 14:45 - 01.01.2019 15:00","342","468"
"01.01.2019 15:00 - 01.01.2019 15:15","343","459"
"01.01.2019 15:15 - 01.01.2019 15:30","342","456"
"01.01.2019 15:30 - 01.01.2019 15:45","344","444"
"01.01.2019 15:45 - 01.01.2019 16:00","346","456"
"01.01.2019 16:00 - 01.01.2019 16:15","347","473"
"01.01.2019 16:15 - 01.01.2019 16:30","343","475"
"01.01.2019 16:30 - 01.01.2019 16:45","351","456"
"01.01.2019 16:45 - 01.01.2019 17:00","353","436"
"01.01.2019 17:00 - 01.01.2019 17:15","364","437"
"01.01.2019 17:15 - 01.01.2019 17:30","380","415"
"01.01.2019 17:30 - 01.01.2019 17:45","386","413"
"01.01.2019 17:45 - 01.01.2019 18:00","390","443"
"01.01.2019 18:00 - 01.01.2019 18:15","397","439"
"01.01.2019 18:15 - 01.01.2019 18:30","394","412"
"01.01.2019 18:30 - 01.01.2019 18:45","397","438"
"01.01.2019 18:45 - 01.01.2019 19:00","394","404"
"01.01.2019 19:00 - 01.01.2019 19:15","390","438"
"01.01.2019 19:15 - 01.01.2019 19:30","385","452"
"01.01.2019 19:30 - 01.01.2019 19:45","385","480"
"01.01.2019 19:45 - 01.01.2019 20:00","377","491"
"01.01.2019 20:00 - 01.01.2019 20:15","374","510"
"01.01.2019 20:15 - 01.01.2019 20:30","374","467"
"01.01.2019 20:30 - 01.01.2019 20:45","373","450"
"01.01.2019 20:45 - 01.01.2019 21:00","362","440"
"01.01.2019 21:00 - 01.01.2019 21:15","358","426"
"01.01.2019 21:15 - 01.01.2019 21:30","355","420"
"01.01.2019 21:30 - 01.01.2019 21:45","353","383"
"01.01.2019 21:45 - 01.01.2019 22:00","349","406"
"01.01.2019 22:00 - 01.01.2019 22:15","344","406"
"01.01.2019 22:15 - 01.01.2019 22:30","393","363"
"01.01.2019 22:30 - 01.01.2019 22:45","411","348"
"01.01.2019 22:45 - 01.01.2019 23:00","406","318"
"01.01.2019 23:00 - 01.01.2019 23:15","400","317"
"01.01.2019 23:15 - 01.01.2019 23:30","394","396"
"01.01.2019 23:30 - 01.01.2019 23:45","389","410"
"01.01.2019 23:45 - 02.01.2019 00:00","382","431"
"02.01.2019 00:00 - 02.01.2019 00:15","372","401"
"02.01.2019 00:15 - 02.01.2019 00:30","385","341"
"02.01.2019 00:30 - 02.01.2019 00:45","378","303"
"02.01.2019 00:45 - 02.01.2019 01:00","370","342"
"02.01.2019 01:00 - 02.01.2019 01:15","366","351"
"02.01.2019 01:15 - 02.01.2019 01:30","368","344"
"02.01.2019 01:30 - 02.01.2019 01:45","363","298"
"02.01.2019 01:45 - 02.01.2019 02:00","360","295"
"02.01.2019 02:00 - 02.01.2019 02:15","358","291"
"02.01.2019 02:15 - 02.01.2019 02:30","355","300"
"02.01.2019 02:30 - 02.01.2019 02:45","353","294"
"02.01.2019 02:45 - 02.01.2019 03:00","352","0"
"02.01.2019 03:00 - 02.01.2019 03:15","351","378"
"02.01.2019 03:15 - 02.01.2019 03:30","353","426"
"02.01.2019 03:30 - 02.01.2019 03:45","351","0"
"02.01.2019 03:45 - 02.01.2019 04:00","350","0"
"02.01.2019 04:00 - 02.01.2019 04:15","349","436"
"02.01.2019 04:15 - 02.01.2019 04:30","352","462"
"02.01.2019 04:30 - 02.01.2019 04:45","354","481"
"02.01.2019 04:45 - 02.01.2019 05:00","359","460"
"02.01.2019 05:00 - 02.01.2019 05:15","364","419"
"02.01.2019 05:15 - 02.01.2019 05:30","371","383"
"02.01.2019 05:30 - 02.01.2019 05:45","375","404"
"02.01.2019 05:45 - 02.01.2019 06:00","382","373"
"02.01.2019 06:00 - 02.01.2019 06:15","393","384"
"02.01.2019 06:15 - 02.01.2019 06:30","359","336"
"02.01.2019 06:30 - 02.01.2019 06:45","348","308"
"02.01.2019 06:45 - 02.01.2019 07:00","362","297"
"02.01.2019 07:00 - 02.01.2019 07:15","377","295"
"02.01.2019 07:15 - 02.01.2019 07:30","400","319"
"02.01.2019 07:30 - 02.01.2019 07:45","411","308"
"02.01.2019 07:45 - 02.01.2019 08:00","425","297"
"02.01.2019 08:00 - 02.01.2019 08:15","439","275"
"02.01.2019 08:15 - 02.01.2019 08:30","449","327"
"02.01.2019 08:30 - 02.01.2019 08:45","454","0"
"02.01.2019 08:45 - 02.01.2019 09:00","453","0"
"02.01.2019 09:00 - 02.01.2019 09:15","457","0"
"02.01.2019 09:15 - 02.01.2019 09:30","459","0"
"02.01.2019 09:30 - 02.01.2019 09:45","459","0"
"02.01.2019 09:45 - 02.01.2019 10:00","463","0"
"02.01.2019 10:00 - 02.01.2019 10:15","464","0"
"02.01.2019 10:15 - 02.01.2019 10:30","469","0"
"02.01.2019 10:30 - 02.01.2019 10:45","472","0"
"02.01.2019 10:45 - 02.01.2019 11:00","471","0"
"02.01.2019 11:00 - 02.01.2019 11:15","473","0"
"02.01.2019 11:15 - 02.01.2019 11:30","472","0"
"02.01.2019 11:30 - 02.01.2019 11:45","476","0"
"02.01.2019 11:45 - 02.01.2019 12:00","482","0"
"02.01.2019 12:00 - 02.01.2019 12:15","483","0"
"02.01.2019 12:15 - 02.01.2019 12:30","472","0"
"02.01.2019 12:30 - 02.01.2019 12:45","464","0"
"02.01.2019 12:45 - 02.01.2019 13:00","457","0"
"02.01.2019 13:00 - 02.01.2019 13:15","455","0"
"02.01.2019 13:15 - 02.01.2019 13:30","461","0"
"02.01.2019 13:30 - 02.01.2019 13:45","461","0"
"02.01.2019 13:45 - 02.01.2019 14:00","458","0"
"02.01.2019 14:00 - 02.01.2019 14:15","453","0"
"02.01.2019 14:15 - 02.01.2019 14:30","468","0"
"02.01.2019 14:30 - 02.01.2019 14:45","468","0"
"02.01.2019 14:45 - 02.01.2019 15:00","464","0"
"02.01.2019 15:00 - 02.01.2019 15:15","463","0"
"02.01.2019 15:15 - 02.01.2019 15:30","470","0"
"02.01.2019 15:30 - 02.01.2019 15:45","469","0"
"02.01.2019 15:45 - 02.01.2019 16:00","471","0"
"02.01.2019 16:00 - 02.01.2019 16:15","469","0"
"02.01.2019 16:15 - 02.01.2019 16:30","475","0"
"02.01.2019 16:30 - 02.01.2019 16:45","479","0"
"02.01.2019 16:45 - 02.01.2019 17:00","482","0"
"02.01.2019 17:00 - 02.01.2019 17:15","492","0"
"02.01.2019 17:15 - 02.01.2019 17:30","508","0"
"02.01.2019 17:30 - 02.01.2019 17:45","514","0"
"02.01.2019 17:45 - 02.01.2019 18:00","520","0"
"02.01.2019 18:00 - 02.01.2019 18:15","522","0"
"02.01.2019 18:15 - 02.01.2019 18:30","524","0"
"02.01.2019 18:30 - 02.01.2019 18:45","526","0"
"02.01.2019 18:45 - 02.01.2019 19:00","525","0"
"02.01.2019 19:00 - 02.01.2019 19:15","522","0"
"02.01.2019 19:15 - 02.01.2019 19:30","511","0"
"02.01.2019 19:30 - 02.01.2019 19:45","511","0"
"02.01.2019 19:45 - 02.01.2019 20:00","509","0"
"02.01.2019 20:00 - 02.01.2019 20:15","502","0"
"02.01.2019 20:15 - 02.01.2019 20:30","501","0"
"02.01.2019 20:30 - 02.01.2019 20:45","492","0"
"02.01.2019 20:45 - 02.01.2019 21:00","485","0"
"02.01.2019 21:00 - 02.01.2019 21:15","474","0"
"02.01.2019 21:15 - 02.01.2019 21:30","461","0"
"02.01.2019 21:30 - 02.01.2019 21:45","450","0"
"02.01.2019 21:45 - 02.01.2019 22:00","441","0"
"02.01.2019 22:00 - 02.01.2019 22:15","435","0"
"02.01.2019 22:15 - 02.01.2019 22:30","472","0"
"02.01.2019 22:30 - 02.01.2019 22:45","487","0"
"02.01.2019 22:45 - 02.01.2019 23:00","476","0"
"02.01.2019 23:00 - 02.01.2019 23:15","469","0"
"02.01.2019 23:15 - 02.01.2019 23:30","468","0"
"02.01.2019 23:30 - 02.01.2019 23:45","459","0"
"02.01.2019 23:45 - 03.01.2019 00:00","447","0"
"03.01.2019 00:00 - 03.01.2019 00:15","442","0"
"03.01.2019 00:15 - 03.01.2019 00:30","432","0"
"03.01.2019 00:30 - 03.01.2019 00:45","427","0"
"03.01.2019 00:45 - 03.01.2019 01:00","419","0"
"03.01.2019 01:00 - 03.01.2019 01:15","415","0"
"03.01.2019 01:15 - 03.01.2019 01:30","410","0"
"03.01.2019 01:30 - 03.01.2019 01:45","403","0"
"03.01.2019 01:45 - 03.01.2019 02:00","398","0"
"03.01.2019 02:00 - 03.01.2019 02:15","395","0"
"03.01.2019 02:15 - 03.01.2019 02:30","391","0"
"03.01.2019 02:30 - 03.01.2019 02:45","389","0"
"03.01.2019 02:45 - 03.01.2019 03:00","388","0"
"03.01.2019 03:00 - 03.01.2019 03:15","384","0"
"03.01.2019 03:15 - 03.01.2019 03:30","385","0"
"03.01.2019 03:30 - 03.01.2019 03:45","385","0"
"03.01.2019 03:45 - 03.01.2019 04:00","386","0"
"03.01.2019 04:00 - 03.01.2019 04:15","388","0"
"03.01.2019 04:15 - 03.01.2019 04:30","388","0"
"03.01.2019 04:30 - 03.01.2019 04:45","390","0"
"03.01.2019 04:45 - 03.01.2019 05:00","392","0"
"03.01.2019 05:00 - 03.01.2019 05:15","399","0"
"03.01.2019 05:15 - 03.01.2019 05:30","409","0"
"03.01.2019 05:30 - 03.01.2019 05:45","415","0"
"03.01.2019 05:45 - 03.01.2019 06:00","422","0"
"03.01.2019 06:00 - 03.01.2019 06:15","433","0"
"03.01.2019 06:15 - 03.01.2019 06:30","416","0"
"03.01.2019 06:30 - 03.01.2019 06:45","406","0"
"03.01.2019 06:45 - 03.01.2019 07:00","421","0"
"03.01.2019 07:00 - 03.01.2019 07:15","431","0"
"03.01.2019 07:15 - 03.01.2019 07:30","450","0"
"03.01.2019 07:30 - 03.01.2019 07:45","464","0"
"03.01.2019 07:45 - 03.01.2019 08:00","476","0"
"03.01.2019 08:00 - 03.01.2019 08:15","486","0"
"03.01.2019 08:15 - 03.01.2019 08:30","500","0"
"03.01.2019 08:30 - 03.01.2019 08:45","505","0"
"03.01.2019 08:45 - 03.01.2019 09:00","503","0"
"03.01.2019 09:00 - 03.01.2019 09:15","506","N/A"
"03.01.2019 09:15 - 03.01.2019 09:30","512","N/A"
"03.01.2019 09:30 - 03.01.2019 09:45","519","N/A"
"03.01.2019 09:45 - 03.01.2019 10:00","520","N/A"
"03.01.2019 10:00 - 03.01.2019 10:15","522","N/A"
"03.01.2019 10:15 - 03.01.2019 10:30","520","N/A"
"03.01.2019 10:30 - 03.01.2019 10:45","523","N/A"
"03.01.2019 10:45 - 03.01.2019 11:00","522","N/A"
"03.01.2019 11:00 - 03.01.2019 11:15","523","N/A"
"03.01.2019 11:15 - 03.01.2019 11:30","522","N/A"
"03.01.2019 11:30 - 03.01.2019 11:45","527","N/A"
"03.01.2019 11:45 - 03.01.2019 12:00","530","N/A"
"03.01.2019 12:00 - 03.01.2019 12:15","533","N/A"
"03.01.2019 12:15 - 03.01.2019 12:30","536","N/A"
"03.01.2019 12:30 - 03.01.2019 12:45","532","N/A"
"03.01.2019 12:45 - 03.01.2019 13:00","525","N/A"
"03.01.2019 13:00 - 03.01.2019 13:15","521","0"
"03.01.2019 13:15 - 03.01.2019 13:30","509","0"
"03.01.2019 13:30 - 03.01.2019 13:45","507","0"
"03.01.2019 13:45 - 03.01.2019 14:00","503","0"
"03.01.2019 14:00 - 03.01.2019 14:15","501","0"
"03.01.2019 14:15 - 03.01.2019 14:30","500","0"
"03.01.2019 14:30 - 03.01.2019 14:45","501","0"
"03.01.2019 14:45 - 03.01.2019 15:00","495","0"
"03.01.2019 15:00 - 03.01.2019 15:15","497","0"
"03.01.2019 15:15 - 03.01.2019 15:30","494","0"
"03.01.2019 15:30 - 03.01.2019 15:45","495","0"
"03.01.2019 15:45 - 03.01.2019 16:00","493","0"
"03.01.2019 16:00 - 03.01.2019 16:15","496","0"
"03.01.2019 16:15 - 03.01.2019 16:30","496","0"
"03.01.2019 16:30 - 03.01.2019 16:45","500","0"
"03.01.2019 16:45 - 03.01.2019 17:00","502","0"
"03.01.2019 17:00 - 03.01.2019 17:15","511","0"
"03.01.2019 17:15 - 03.01.2019 17:30","530","0"
"03.01.2019 17:30 - 03.01.2019 17:45","538","0"
"03.01.2019 17:45 - 03.01.2019 18:00","541","0"
"03.01.2019 18:00 - 03.01.2019 18:15","548","0"
"03.01.2019 18:15 - 03.01.2019 18:30","546","0"
"03.01.2019 18:30 - 03.01.2019 18:45","549","0"
"03.01.2019 18:45 - 03.01.2019 19:00","547","0"
"03.01.2019 19:00 - 03.01.2019 19:15","546","0"
"03.01.2019 19:15 - 03.01.2019 19:30","537","0"
"03.01.2019 19:30 - 03.01.2019 19:45","529","0"
"03.01.2019 19:45 - 03.01.2019 20:00","522","0"
"03.01.2019 20:00 - 03.01.2019 20:15","514","0"
"03.01.2019 20:15 - 03.01.2019 20:30","506","0"
"03.01.2019 20:30 - 03.01.2019 20:45","497","0"
"03.01.2019 20:45 - 03.01.2019 21:00","488","0"
"03.01.2019 21:00 - 03.01.2019 21:15","480","0"
"03.01.2019 21:15 - 03.01.2019 21:30","467","0"
"03.01.2019 21:30 - 03.01.2019 21:45","460","0"
"03.01.2019 21:45 - 03.01.2019 22:00","451","0"
"03.01.2019 22:00 - 03.01.2019 22:15","445","0"
"03.01.2019 22:15 - 03.01.2019 22:30","491","0"
"03.01.2019 22:30 - 03.01.2019 22:45","507","0"
"03.01.2019 22:45 - 03.01.2019 23:00","496","0"
"03.01.2019 23:00 - 03.01.2019 23:15","490","0"
"03.01.2019 23:15 - 03.01.2019 23:30","481","0"
"03.01.2019 23:30 - 03.01.2019 23:45","474","0"
"03.01.2019 23:45 - 04.01.2019 00:00","465","0"
"04.01.2019 00:00 - 04.01.2019 00:15","458","0"
"04.01.2019 00:15 - 04.01.2019 00:30","457","0"
"04.01.2019 00:30 - 04.01.2019 00:45","445","0"
"04.01.2019 00:45 - 04.01.2019 01:00","438","0"
"04.01.2019 01:00 - 04.01.2019 01:15","431","0"
"04.01.2019 01:15 - 04.01.2019 01:30","427","0"
"04.01.2019 01:30 - 04.01.2019 01:45","419","0"
"04.01.2019 01:45 - 04.01.2019 02:00","413","0"
"04.01.2019 02:00 - 04.01.2019 02:15","409","0"
"04.01.2019 02:15 - 04.01.2019 02:30","406","0"
"04.01.2019 02:30 - 04.01.2019 02:45","403","0"
"04.01.2019 02:45 - 04.01.2019 03:00","401","0"
"04.01.2019 03:00 - 04.01.2019 03:15","399","0"
"04.01.2019 03:15 - 04.01.2019 03:30","400","0"
"04.01.2019 03:30 - 04.01.2019 03:45","400","0"
"04.01.2019 03:45 - 04.01.2019 04:00","401","0"
"04.01.2019 04:00 - 04.01.2019 04:15","403","0"
"04.01.2019 04:15 - 04.01.2019 04:30","404","0"
"04.01.2019 04:30 - 04.01.2019 04:45","408","0"
"04.01.2019 04:45 - 04.01.2019 05:00","410","0"
"04.01.2019 05:00 - 04.01.2019 05:15","416","0"
"04.01.2019 05:15 - 04.01.2019 05:30","421","0"
"04.01.2019 05:30 - 04.01.2019 05:45","429","0"
"04.01.2019 05:45 - 04.01.2019 06:00","435","0"
"04.01.2019 06:00 - 04.01.2019 06:15","447","0"
"04.01.2019 06:15 - 04.01.2019 06:30","435","0"
"04.01.2019 06:30 - 04.01.2019 06:45","425","0"
"04.01.2019 06:45 - 04.01.2019 07:00","435","0"
