TIME,GEO,NRG_BAL,SIEC,UNIT,Value,Flag and Footnotes
2011,European Union - 27 countries (from 2020),Imports,Electricity,Gigawatt-hour,321114.67,
2011,European Union - 27 countries (from 2020),Exports,Electricity,Gigawatt-hour,320148.27,
2011,European Union - 28 countries (2013-2020),Imports,Electricity,Gigawatt-hour,329804.67,
2011,European Union - 28 countries (2013-2020),Exports,Electricity,Gigawatt-hour,322615.27,
2011,Euro area - 19 countries  (from 2015),Imports,Electricity,Gigawatt-hour,246194.67,
2011,Euro area - 19 countries  (from 2015),Exports,Electricity,Gigawatt-hour,218260.27,
2011,Belgium,Imports,Electricity,Gigawatt-hour,13189,
2011,Belgium,Exports,Electricity,Gigawatt-hour,10652,
2011,Bulgaria,Imports,Electricity,Gigawatt-hour,1449,
2011,Bulgaria,Exports,Electricity,Gigawatt-hour,12110,
2011,Czech Republic,Imports,Electricity,Gigawatt-hour,10457,
2011,Czech Republic,Exports,Electricity,Gigawatt-hour,27501,
2011,Denmark,Imports,Electricity,Gigawatt-hour,11694,
2011,Denmark,Exports,Electricity,Gigawatt-hour,10374,
2011,Germany,Imports,Electricity,Gigawatt-hour,51003,
2011,Germany,Exports,Electricity,Gigawatt-hour,54768,
2011,Estonia,Imports,Electricity,Gigawatt-hour,1690,
2011,Estonia,Exports,Electricity,Gigawatt-hour,5252,
2011,Ireland,Imports,Electricity,Gigawatt-hour,731.62,
2011,Ireland,Exports,Electricity,Gigawatt-hour,241.53,
2011,Greece,Imports,Electricity,Gigawatt-hour,7180,
2011,Greece,Exports,Electricity,Gigawatt-hour,3948,
2011,Spain,Imports,Electricity,Gigawatt-hour,7932,
2011,Spain,Exports,Electricity,Gigawatt-hour,14023,
2011,France,Imports,Electricity,Gigawatt-hour,9501,
2011,France,Exports,Electricity,Gigawatt-hour,65914,
2011,Croatia,Imports,Electricity,Gigawatt-hour,13985,
2011,Croatia,Exports,Electricity,Gigawatt-hour,6830,
2011,Italy,Imports,Electricity,Gigawatt-hour,47519,
2011,Italy,Exports,Electricity,Gigawatt-hour,1787,
2011,Cyprus,Imports,Electricity,Gigawatt-hour,0,
2011,Cyprus,Exports,Electricity,Gigawatt-hour,0,
2011,Latvia,Imports,Electricity,Gigawatt-hour,4009,
2011,Latvia,Exports,Electricity,Gigawatt-hour,2764,
2011,Lithuania,Imports,Electricity,Gigawatt-hour,8086,
2011,Lithuania,Exports,Electricity,Gigawatt-hour,1347,
2011,Luxembourg,Imports,Electricity,Gigawatt-hour,7096.34,
2011,Luxembourg,Exports,Electricity,Gigawatt-hour,2614.39,
2011,Hungary,Imports,Electricity,Gigawatt-hour,14664,
2011,Hungary,Exports,Electricity,Gigawatt-hour,8021,
2011,Malta,Imports,Electricity,Gigawatt-hour,0,
2011,Malta,Exports,Electricity,Gigawatt-hour,0,
2011,Netherlands,Imports,Electricity,Gigawatt-hour,20620,
2011,Netherlands,Exports,Electricity,Gigawatt-hour,11531,
2011,Austria,Imports,Electricity,Gigawatt-hour,24976.71,
2011,Austria,Exports,Electricity,Gigawatt-hour,16777.35,
2011,Poland,Imports,Electricity,Gigawatt-hour,6780,
2011,Poland,Exports,Electricity,Gigawatt-hour,12022,
2011,Portugal,Imports,Electricity,Gigawatt-hour,6742,
2011,Portugal,Exports,Electricity,Gigawatt-hour,3929,
2011,Romania,Imports,Electricity,Gigawatt-hour,3410,
