TIME,GEO,NRG_BAL,SIEC,UNIT,Value,Flag and Footnotes
2010,European Union - 28 countries (2013-2020),Gross electricity production,Total,Gigawatt-hour,3363046.15,
2010,European Union - 27 countries (from 2020),Gross electricity production,Total,Gigawatt-hour,2980976.28,
2010,Euro area - 19 countries  (from 2015),Gross electricity production,Total,Gigawatt-hour,2390282.98,
2010,Germany,Gross electricity production,Total,Gigawatt-hour,631038.00,
2010,France,Gross electricity production,Total,Gigawatt-hour,569153.12,
2010,United Kingdom,Gross electricity production,Total,Gigawatt-hour,382069.87,
2010,Turkey,Gross electricity production,Total,Gigawatt-hour,211097.37,
2010,Italy,Gross electricity production,Total,Gigawatt-hour,301284.90,
2010,Spain,Gross electricity production,Total,Gigawatt-hour,301368.20,
2010,Sweden,Gross electricity production,Total,Gigawatt-hour,148546.51,
2010,Poland,Gross electricity production,Total,Gigawatt-hour,157575.21,
2010,Ukraine,Gross electricity production,Total,Gigawatt-hour,188828.00,
2010,Norway,Gross electricity production,Total,Gigawatt-hour,123514.00,
2010,Netherlands,Gross electricity production,Total,Gigawatt-hour,119115.29,
2010,Belgium,Gross electricity production,Total,Gigawatt-hour,95631.50,
2010,Czech Republic,Gross electricity production,Total,Gigawatt-hour,85819.36,
2010,Austria,Gross electricity production,Total,Gigawatt-hour,71110.10,
2010,Finland,Gross electricity production,Total,Gigawatt-hour,80364.76,
2010,Romania,Gross electricity production,Total,Gigawatt-hour,60978.86,
2010,Portugal,Gross electricity production,Total,Gigawatt-hour,54085.75,
2010,Greece,Gross electricity production,Total,Gigawatt-hour,57404.92,
2010,Bulgaria,Gross electricity production,Total,Gigawatt-hour,46638.56,
2010,Serbia,Gross electricity production,Total,Gigawatt-hour,38103.00,
2010,Hungary,Gross electricity production,Total,Gigawatt-hour,37370.15,
2010,Ireland,Gross electricity production,Total,Gigawatt-hour,28353.26,
2010,Denmark,Gross electricity production,Total,Gigawatt-hour,38862.10,
2010,Slovakia,Gross electricity production,Total,Gigawatt-hour,27817.94,
2010,Iceland,Gross electricity production,Total,Gigawatt-hour,17059.40,
2010,Bosnia and Herzegovina,Gross electricity production,Total,Gigawatt-hour,:,
2010,Slovenia,Gross electricity production,Total,Gigawatt-hour,16438.25,
2010,Croatia,Gross electricity production,Total,Gigawatt-hour,14902.56,
2010,Georgia,Gross electricity production,Total,Gigawatt-hour,:,
2010,Estonia,Gross electricity production,Total,Gigawatt-hour,12963.88,
2010,Latvia,Gross electricity production,Total,Gigawatt-hour,6626.93,
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Gross electricity production,Total,Gigawatt-hour,5168.00,
2010,North Macedonia,Gross electricity production,Total,Gigawatt-hour,7260.50,
2010,Albania,Gross electricity production,Total,Gigawatt-hour,7568.00,
2010,Cyprus,Gross electricity production,Total,Gigawatt-hour,5322.24,
2010,Lithuania,Gross electricity production,Total,Gigawatt-hour,5499.00,
2010,Montenegro,Gross electricity production,Total,Gigawatt-hour,4022.00,
2010,Malta,Gross electricity production,Total,Gigawatt-hour,2113.68,
2010,Luxembourg,Gross electricity production,Total,Gigawatt-hour,4591.28,
2010,Moldova,Gross electricity production,Total,Gigawatt-hour,1064.00,
2011,European Union - 28 countries (2013-2020),Gross electricity production,Total,Gigawatt-hour,3305042.42,
2011,European Union - 27 countries (from 2020),Gross electricity production,Total,Gigawatt-hour,2937058.37,
2011,Euro area - 19 countries  (from 2015),Gross electricity production,Total,Gigawatt-hour,2340210.99,
2011,Germany,Gross electricity production,Total,Gigawatt-hour,611023.00,
2011,France,Gross electricity production,Total,Gigawatt-hour,572560.35,
2011,United Kingdom,Gross electricity production,Total,Gigawatt-hour,367984.06,
2011,Turkey,Gross electricity production,Total,Gigawatt-hour,229289.11,
2011,Italy,Gross electricity production,Total,Gigawatt-hour,301772.34,
2011,Spain,Gross electricity production,Total,Gigawatt-hour,293676.00,
2011,Sweden,Gross electricity production,Total,Gigawatt-hour,150405.49,
2011,Poland,Gross electricity production,Total,Gigawatt-hour,163442.83,
2011,Ukraine,Gross electricity production,Total,Gigawatt-hour,194947.50,
2011,Norway,Gross electricity production,Total,Gigawatt-hour,127481.00,
2011,Netherlands,Gross electricity production,Total,Gigawatt-hour,113813.19,
2011,Belgium,Gross electricity production,Total,Gigawatt-hour,90289.70,
2011,Czech Republic,Gross electricity production,Total,Gigawatt-hour,87390.01,
2011,Austria,Gross electricity production,Total,Gigawatt-hour,65801.61,
2011,Finland,Gross electricity production,Total,Gigawatt-hour,73202.40,
2011,Romania,Gross electricity production,Total,Gigawatt-hour,62214.98,
2011,Portugal,Gross electricity production,Total,Gigawatt-hour,52458.25,
2011,Greece,Gross electricity production,Total,Gigawatt-hour,59436.57,
2011,Bulgaria,Gross electricity production,Total,Gigawatt-hour,50773.61,
2011,Serbia,Gross electricity production,Total,Gigawatt-hour,38600.00,
2011,Hungary,Gross electricity production,Total,Gigawatt-hour,36019.18,
2011,Ireland,Gross electricity production,Total,Gigawatt-hour,27164.03,
2011,Denmark,Gross electricity production,Total,Gigawatt-hour,35229.12,
2011,Slovakia,Gross electricity production,Total,Gigawatt-hour,28578.19,
2011,Iceland,Gross electricity production,Total,Gigawatt-hour,17210.30,
2011,Bosnia and Herzegovina,Gross electricity production,Total,Gigawatt-hour,:,
2011,Slovenia,Gross electricity production,Total,Gigawatt-hour,16057.99,
2011,Croatia,Gross electricity production,Total,Gigawatt-hour,11372.17,
2011,Georgia,Gross electricity production,Total,Gigawatt-hour,:,
2011,Estonia,Gross electricity production,Total,Gigawatt-hour,12893.72,
2011,Latvia,Gross electricity production,Total,Gigawatt-hour,6094.26,
2011,Kosovo (under United Nations Security Council Resolution 1244/99),Gross electricity production,Total,Gigawatt-hour,5800.91,
2011,North Macedonia,Gross electricity production,Total,Gigawatt-hour,6759.29,
2011,Albania,Gross electricity production,Total,Gigawatt-hour,4191.00,
2011,Cyprus,Gross electricity production,Total,Gigawatt-hour,4929.21,
2011,Lithuania,Gross electricity production,Total,Gigawatt-hour,4565.00,
2011,Montenegro,Gross electricity production,Total,Gigawatt-hour,2655.85,
2011,Malta,Gross electricity production,Total,Gigawatt-hour,2178.90,
2011,Luxembourg,Gross electricity production,Total,Gigawatt-hour,3716.29,
2011,Moldova,Gross electricity production,Total,Gigawatt-hour,1016.00,
2012,European Union - 28 countries (2013-2020),Gross electricity production,Total,Gigawatt-hour,3298243.14,
2012,European Union - 27 countries (from 2020),Gross electricity production,Total,Gigawatt-hour,2934364.31,
2012,Euro area - 19 countries  (from 2015),Gross electricity production,Total,Gigawatt-hour,2335952.55,
2012,Germany,Gross electricity production,Total,Gigawatt-hour,626494.00,
2012,France,Gross electricity production,Total,Gigawatt-hour,572009.53,
2012,United Kingdom,Gross electricity production,Total,Gigawatt-hour,363878.83,
2012,Turkey,Gross electricity production,Total,Gigawatt-hour,239384.68,
2012,Italy,Gross electricity production,Total,Gigawatt-hour,298525.44,
2012,Spain,Gross electricity production,Total,Gigawatt-hour,297383.62,
2012,Sweden,Gross electricity production,Total,Gigawatt-hour,166561.00,
2012,Poland,Gross electricity production,Total,Gigawatt-hour,162058.27,
2012,Ukraine,Gross electricity production,Total,Gigawatt-hour,198878.20,
2012,Norway,Gross electricity production,Total,Gigawatt-hour,147633.00,
2012,Netherlands,Gross electricity production,Total,Gigawatt-hour,103088.01,
2012,Belgium,Gross electricity production,Total,Gigawatt-hour,82734.80,
2012,Czech Republic,Gross electricity production,Total,Gigawatt-hour,87344.15,
2012,Austria,Gross electricity production,Total,Gigawatt-hour,72591.97,
2012,Finland,Gross electricity production,Total,Gigawatt-hour,70090.77,
2012,Romania,Gross electricity production,Total,Gigawatt-hour,59044.86,
2012,Portugal,Gross electricity production,Total,Gigawatt-hour,46611.54,
2012,Greece,Gross electricity production,Total,Gigawatt-hour,60959.09,
2012,Bulgaria,Gross electricity production,Total,Gigawatt-hour,47313.30,
2012,Serbia,Gross electricity production,Total,Gigawatt-hour,36799.00,
2012,Hungary,Gross electricity production,Total,Gigawatt-hour,34634.11,
2012,Ireland,Gross electricity production,Total,Gigawatt-hour,27355.04,
2012,Denmark,Gross electricity production,Total,Gigawatt-hour,30701.12,
2012,Slovakia,Gross electricity production,Total,Gigawatt-hour,28595.00,
2012,Iceland,Gross electricity production,Total,Gigawatt-hour,17549.07,
2012,Bosnia and Herzegovina,Gross electricity production,Total,Gigawatt-hour,:,
2012,Slovenia,Gross electricity production,Total,Gigawatt-hour,15736.03,
2012,Croatia,Gross electricity production,Total,Gigawatt-hour,10754.96,
2012,Georgia,Gross electricity production,Total,Gigawatt-hour,:,
2012,Estonia,Gross electricity production,Total,Gigawatt-hour,11966.48,
2012,Latvia,Gross electricity production,Total,Gigawatt-hour,6167.77,
2012,Kosovo (under United Nations Security Council Resolution 1244/99),Gross electricity production,Total,Gigawatt-hour,5942.58,
2012,North Macedonia,Gross electricity production,Total,Gigawatt-hour,6261.60,
2012,Albania,Gross electricity production,Total,Gigawatt-hour,4725.00,
2012,Cyprus,Gross electricity production,Total,Gigawatt-hour,4716.84,
2012,Lithuania,Gross electricity production,Total,Gigawatt-hour,4816.00,
2012,Montenegro,Gross electricity production,Total,Gigawatt-hour,2844.09,
2012,Malta,Gross electricity production,Total,Gigawatt-hour,2293.66,
2012,Luxembourg,Gross electricity production,Total,Gigawatt-hour,3816.97,
2012,Moldova,Gross electricity production,Total,Gigawatt-hour,931.89,
2013,European Union - 28 countries (2013-2020),Gross electricity production,Total,Gigawatt-hour,3274650.43,
2013,European Union - 27 countries (from 2020),Gross electricity production,Total,Gigawatt-hour,2916361.18,
2013,Euro area - 19 countries  (from 2015),Gross electricity production,Total,Gigawatt-hour,2330177.25,
2013,Germany,Gross electricity production,Total,Gigawatt-hour,636936.00,
2013,France,Gross electricity production,Total,Gigawatt-hour,581626.03,
2013,United Kingdom,Gross electricity production,Total,Gigawatt-hour,358289.25,
2013,Turkey,Gross electricity production,Total,Gigawatt-hour,239875.89,
2013,Italy,Gross electricity production,Total,Gigawatt-hour,289049.30,
2013,Spain,Gross electricity production,Total,Gigawatt-hour,285631.12,
2013,Sweden,Gross electricity production,Total,Gigawatt-hour,153165.86,
2013,Poland,Gross electricity production,Total,Gigawatt-hour,164468.42,
2013,Ukraine,Gross electricity production,Total,Gigawatt-hour,194376.80,
2013,Norway,Gross electricity production,Total,Gigawatt-hour,133818.00,
2013,Netherlands,Gross electricity production,Total,Gigawatt-hour,101507.23,
2013,Belgium,Gross electricity production,Total,Gigawatt-hour,83069.90,
2013,Czech Republic,Gross electricity production,Total,Gigawatt-hour,86838.26,
2013,Austria,Gross electricity production,Total,Gigawatt-hour,68342.64,
2013,Finland,Gross electricity production,Total,Gigawatt-hour,70969.44,
2013,Romania,Gross electricity production,Total,Gigawatt-hour,58886.25,
2013,Portugal,Gross electricity production,Total,Gigawatt-hour,51668.25,
2013,Greece,Gross electricity production,Total,Gigawatt-hour,57152.53,
2013,Bulgaria,Gross electricity production,Total,Gigawatt-hour,43768.82,
2013,Serbia,Gross electricity production,Total,Gigawatt-hour,39877.00,
2013,Hungary,Gross electricity production,Total,Gigawatt-hour,30260.28,
2013,Ireland,Gross electricity production,Total,Gigawatt-hour,25920.41,
2013,Denmark,Gross electricity production,Total,Gigawatt-hour,34742.78,
2013,Slovakia,Gross electricity production,Total,Gigawatt-hour,28763.00,
2013,Iceland,Gross electricity production,Total,Gigawatt-hour,18115.61,
2013,Bosnia and Herzegovina,Gross electricity production,Total,Gigawatt-hour,:,
2013,Slovenia,Gross electricity production,Total,Gigawatt-hour,16102.82,
2013,Croatia,Gross electricity production,Total,Gigawatt-hour,14053.27,
2013,Georgia,Gross electricity production,Total,Gigawatt-hour,10059.21,
2013,Estonia,Gross electricity production,Total,Gigawatt-hour,13274.57,
2013,Latvia,Gross electricity production,Total,Gigawatt-hour,6208.43,
2013,Kosovo (under United Nations Security Council Resolution 1244/99),Gross electricity production,Total,Gigawatt-hour,6525.30,
2013,North Macedonia,Gross electricity production,Total,Gigawatt-hour,6094.02,
2013,Albania,Gross electricity production,Total,Gigawatt-hour,6959.00,
2013,Cyprus,Gross electricity production,Total,Gigawatt-hour,4290.01,
2013,Lithuania,Gross electricity production,Total,Gigawatt-hour,4525.00,
2013,Montenegro,Gross electricity production,Total,Gigawatt-hour,3945.17,
2013,Malta,Gross electricity production,Total,Gigawatt-hour,2251.45,
2013,Luxembourg,Gross electricity production,Total,Gigawatt-hour,2889.13,
2013,Moldova,Gross electricity production,Total,Gigawatt-hour,905.00,
2014,European Union - 28 countries (2013-2020),Gross electricity production,Total,Gigawatt-hour,3194704.54,
2014,European Union - 27 countries (from 2020),Gross electricity production,Total,Gigawatt-hour,2856603.88,
2014,Euro area - 19 countries  (from 2015),Gross electricity production,Total,Gigawatt-hour,2269734.37,
2014,Germany,Gross electricity production,Total,Gigawatt-hour,625783.00,
2014,France,Gross electricity production,Total,Gigawatt-hour,571999.59,
2014,United Kingdom,Gross electricity production,Total,Gigawatt-hour,338100.66,
2014,Turkey,Gross electricity production,Total,Gigawatt-hour,251624.57,
2014,Italy,Gross electricity production,Total,Gigawatt-hour,279165.50,
2014,Spain,Gross electricity production,Total,Gigawatt-hour,278749.28,
2014,Sweden,Gross electricity production,Total,Gigawatt-hour,153662.43,
2014,Poland,Gross electricity production,Total,Gigawatt-hour,158916.79,
2014,Ukraine,Gross electricity production,Total,Gigawatt-hour,182818.60,
2014,Norway,Gross electricity production,Total,Gigawatt-hour,141657.00,
2014,Netherlands,Gross electricity production,Total,Gigawatt-hour,103212.36,
2014,Belgium,Gross electricity production,Total,Gigawatt-hour,72219.10,
2014,Czech Republic,Gross electricity production,Total,Gigawatt-hour,86059.80,
2014,Austria,Gross electricity production,Total,Gigawatt-hour,65425.47,
2014,Finland,Gross electricity production,Total,Gigawatt-hour,67803.52,
2014,Romania,Gross electricity production,Total,Gigawatt-hour,65674.62,
