TIME,GEO,NRG_BAL,SIEC,UNIT,Value,Flag and Footnotes
2011,European Union - 27 countries (from 2020),Final consumption,Electricity,Gigawatt-hour,2563061.98,
2011,European Union - 28 countries (2013-2020),Final consumption,Electricity,Gigawatt-hour,2888979.98,
2011,Euro area - 19 countries  (from 2015),Final consumption,Electricity,Gigawatt-hour,2085394.98,
2011,Belgium,Final consumption,Electricity,Gigawatt-hour,84055.2,
2011,Bulgaria,Final consumption,Electricity,Gigawatt-hour,29634,
2011,Czech Republic,Final consumption,Electricity,Gigawatt-hour,55734,
2011,Denmark,Final consumption,Electricity,Gigawatt-hour,32584,
2011,Germany,Final consumption,Electricity,Gigawatt-hour,539891,
2011,Estonia,Final consumption,Electricity,Gigawatt-hour,7156,
2011,Ireland,Final consumption,Electricity,Gigawatt-hour,25087.04,
2011,Greece,Final consumption,Electricity,Gigawatt-hour,53945,
2011,Spain,Final consumption,Electricity,Gigawatt-hour,248835,
2011,France,Final consumption,Electricity,Gigawatt-hour,439698.37,
2011,Croatia,Final consumption,Electricity,Gigawatt-hour,16091,
2011,Italy,Final consumption,Electricity,Gigawatt-hour,313791,
2011,Cyprus,Final consumption,Electricity,Gigawatt-hour,4729.41,
2011,Latvia,Final consumption,Electricity,Gigawatt-hour,6191,
2011,Lithuania,Final consumption,Electricity,Gigawatt-hour,9543,
2011,Luxembourg,Final consumption,Electricity,Gigawatt-hour,6484.29,
2011,Hungary,Final consumption,Electricity,Gigawatt-hour,36358,
2011,Malta,Final consumption,Electricity,Gigawatt-hour,1866,
2011,Netherlands,Final consumption,Electricity,Gigawatt-hour,112958,
2011,Austria,Final consumption,Electricity,Gigawatt-hour,62230.66,
2011,Poland,Final consumption,Electricity,Gigawatt-hour,132388,
2011,Portugal,Final consumption,Electricity,Gigawatt-hour,49114,
2011,Romania,Final consumption,Electricity,Gigawatt-hour,47250,
2011,Slovenia,Final consumption,Electricity,Gigawatt-hour,12612,
2011,Slovakia,Final consumption,Electricity,Gigawatt-hour,25793,
2011,Finland,Final consumption,Electricity,Gigawatt-hour,81415,
2011,Sweden,Final consumption,Electricity,Gigawatt-hour,127628,
2011,Iceland,Final consumption,Electricity,Gigawatt-hour,16152,
2011,Liechtenstein,Final consumption,Electricity,Gigawatt-hour,:,
2011,Norway,Final consumption,Electricity,Gigawatt-hour,113867,
2011,United Kingdom,Final consumption,Electricity,Gigawatt-hour,325918,
2011,Montenegro,Final consumption,Electricity,Gigawatt-hour,3414,
2011,North Macedonia,Final consumption,Electricity,Gigawatt-hour,7572,
2011,Albania,Final consumption,Electricity,Gigawatt-hour,6407,
2011,Serbia,Final consumption,Electricity,Gigawatt-hour,28811,
2011,Turkey,Final consumption,Electricity,Gigawatt-hour,186100,
2011,Bosnia and Herzegovina,Final consumption,Electricity,Gigawatt-hour,:,
2011,Kosovo (under United Nations Security Council Resolution 1244/99),Final consumption,Electricity,Gigawatt-hour,4589,
2011,Moldova,Final consumption,Electricity,Gigawatt-hour,3573,
2011,Ukraine,Final consumption,Electricity,Gigawatt-hour,152084,
2011,Georgia,Final consumption,Electricity,Gigawatt-hour,:,
2012,European Union - 27 countries (from 2020),Final consumption,Electricity,Gigawatt-hour,2562241.75,
2012,European Union - 28 countries (2013-2020),Final consumption,Electricity,Gigawatt-hour,2887724.75,
2012,Euro area - 19 countries  (from 2015),Final consumption,Electricity,Gigawatt-hour,2082441.75,
2012,Belgium,Final consumption,Electricity,Gigawatt-hour,83789.2,
2012,Bulgaria,Final consumption,Electricity,Gigawatt-hour,29187,
2012,Czech Republic,Final consumption,Electricity,Gigawatt-hour,55969,
2012,Denmark,Final consumption,Electricity,Gigawatt-hour,32073,
2012,Germany,Final consumption,Electricity,Gigawatt-hour,538206,
2012,Estonia,Final consumption,Electricity,Gigawatt-hour,7408,
2012,Ireland,Final consumption,Electricity,Gigawatt-hour,25053.82,
2012,Greece,Final consumption,Electricity,Gigawatt-hour,53559,
2012,Spain,Final consumption,Electricity,Gigawatt-hour,245503,
2012,France,Final consumption,Electricity,Gigawatt-hour,453895.79,
2012,Croatia,Final consumption,Electricity,Gigawatt-hour,15709,
2012,Italy,Final consumption,Electricity,Gigawatt-hour,307222,
2012,Cyprus,Final consumption,Electricity,Gigawatt-hour,4417.43,
2012,Latvia,Final consumption,Electricity,Gigawatt-hour,6848,
2012,Lithuania,Final consumption,Electricity,Gigawatt-hour,9724,
2012,Luxembourg,Final consumption,Electricity,Gigawatt-hour,6235.99,
2012,Hungary,Final consumption,Electricity,Gigawatt-hour,36400,
2012,Malta,Final consumption,Electricity,Gigawatt-hour,1946,
2012,Netherlands,Final consumption,Electricity,Gigawatt-hour,108902.77,
2012,Austria,Final consumption,Electricity,Gigawatt-hour,63165.76,
2012,Poland,Final consumption,Electricity,Gigawatt-hour,133278,
2012,Portugal,Final consumption,Electricity,Gigawatt-hour,47110,
2012,Romania,Final consumption,Electricity,Gigawatt-hour,46861,
2012,Slovenia,Final consumption,Electricity,Gigawatt-hour,12540,
2012,Slovakia,Final consumption,Electricity,Gigawatt-hour,24880,
2012,Finland,Final consumption,Electricity,Gigawatt-hour,82035,
2012,Sweden,Final consumption,Electricity,Gigawatt-hour,130323,
2012,Iceland,Final consumption,Electricity,Gigawatt-hour,16523,
2012,Liechtenstein,Final consumption,Electricity,Gigawatt-hour,:,
2012,Norway,Final consumption,Electricity,Gigawatt-hour,117382,
2012,United Kingdom,Final consumption,Electricity,Gigawatt-hour,325483,
2012,Montenegro,Final consumption,Electricity,Gigawatt-hour,3220,
2012,North Macedonia,Final consumption,Electricity,Gigawatt-hour,7170,
2012,Albania,Final consumption,Electricity,Gigawatt-hour,6411,
2012,Serbia,Final consumption,Electricity,Gigawatt-hour,28108,
2012,Turkey,Final consumption,Electricity,Gigawatt-hour,194923,
2012,Bosnia and Herzegovina,Final consumption,Electricity,Gigawatt-hour,:,
2012,Kosovo (under United Nations Security Council Resolution 1244/99),Final consumption,Electricity,Gigawatt-hour,4474,
2012,Moldova,Final consumption,Electricity,Gigawatt-hour,3636,
2012,Ukraine,Final consumption,Electricity,Gigawatt-hour,149817,
2012,Georgia,Final consumption,Electricity,Gigawatt-hour,:,
2013,European Union - 27 countries (from 2020),Final consumption,Electricity,Gigawatt-hour,2537887.97,
2013,European Union - 28 countries (2013-2020),Final consumption,Electricity,Gigawatt-hour,2862208.97,
2013,Euro area - 19 countries  (from 2015),Final consumption,Electricity,Gigawatt-hour,2062925.97,
2013,Belgium,Final consumption,Electricity,Gigawatt-hour,83703.7,
2013,Bulgaria,Final consumption,Electricity,Gigawatt-hour,28696,
2013,Czech Republic,Final consumption,Electricity,Gigawatt-hour,55123,
2013,Denmark,Final consumption,Electricity,Gigawatt-hour,32152,
2013,Germany,Final consumption,Electricity,Gigawatt-hour,536440,
2013,Estonia,Final consumption,Electricity,Gigawatt-hour,7332,
2013,Ireland,Final consumption,Electricity,Gigawatt-hour,25064.85,
2013,Greece,Final consumption,Electricity,Gigawatt-hour,50498,
2013,Spain,Final consumption,Electricity,Gigawatt-hour,235181,
2013,France,Final consumption,Electricity,Gigawatt-hour,458967.55,
2013,Croatia,Final consumption,Electricity,Gigawatt-hour,15435,
2013,Italy,Final consumption,Electricity,Gigawatt-hour,297289,
2013,Cyprus,Final consumption,Electricity,Gigawatt-hour,3935.43,
2013,Latvia,Final consumption,Electricity,Gigawatt-hour,6576,
2013,Lithuania,Final consumption,Electricity,Gigawatt-hour,9770,
2013,Luxembourg,Final consumption,Electricity,Gigawatt-hour,6198.75,
2013,Hungary,Final consumption,Electricity,Gigawatt-hour,36241,
2013,Malta,Final consumption,Electricity,Gigawatt-hour,1950,
2013,Netherlands,Final consumption,Electricity,Gigawatt-hour,110319.45,
